"Grade","Set Name","Set Type","Part Name","Part URL","Image File","Local Image Path","Sealed PDef","Unsealed PDef","Unseal Fee","Physical Defense","MP Boost","Sealed Variant Name","Sealed Variant URL","Set Bonuses"
"S Grade","Major Arcana Robe Set","Robe Set","Major Arcana Boots","https://lineage.pmfun.com/item/6385/major-arcana-boots.html","armor_t90_b_i00_0.png","images/armor_t90_b_i00_0.png","55","-","268,500 AA","","","","","M. Atk +17% | Movement Speed +7 | Casting Cancel Probability -50% | Weight Limit +5759 | WIT +1 | INT +1 | MEN -2 | Stun resistance +50%"
"S Grade","Tateossian Jewelry Set","Jewelry Set","Tateossian Necklace","https://lineage.pmfun.com/item/920/tateossian-necklace.html","accessory_tateossian_necklace_i00_0.png","images/accessory_tateossian_necklace_i00_0.png","91","95 + 42 MP","1,494,460 AA","","","","","More Mdef | More MP when unsealed"
"S Grade","Tateossian Jewelry Set","Jewelry Set","Tateossian Earring","https://lineage.pmfun.com/item/858/tateossian-earring.html","accessory_tateossian_earring_i00_0.png","images/accessory_tateossian_earring_i00_0.png","68","71 + 31 MP","1,120,845 AA","","","","","More Mdef | More MP when unsealed"
"S Grade","Tateossian Jewelry Set","Jewelry Set","Tateossian Ring","https://lineage.pmfun.com/item/889/tateossian-ring.html","accessory_tateossian_ring_i00_0.png","images/accessory_tateossian_ring_i00_0.png","46","48 + 21 MP","747,230 AA","","","","","More Mdef | More MP when unsealed"
"A Grade","Majestic Heavy Set","Heavy Armor Set","Majestic Plate Armor","https://lineage.pmfun.com/item/2383/majestic-plate-armor.html","armor_t83_ul_i00_0.png","images/armor_t83_ul_i00_0.png","","","","","","Sealed Majestic Plate Armor","https://lineage.pmfun.com/item/5316/sealed-majestic-plate-armor.html","P. Atk. +4% | Accuracy +3 | Stun Resistance +50% | STR +2 | Con -2"
"A Grade","Majestic Heavy Set","Heavy Armor Set","Majestic Gauntlets - Heavy Armor","https://lineage.pmfun.com/item/5774/majestic-gauntlets--heavy-armor.html","armor_t83_g_i00_0.png","images/armor_t83_g_i00_0.png","","","","","","Sealed Majestic Gauntlets","https://lineage.pmfun.com/item/5318/sealed-majestic-gauntlets.html","P. Atk. +4% | Accuracy +3 | Stun Resistance +50% | STR +2 | Con -2"
"A Grade","Majestic Heavy Set","Heavy Armor Set","Majestic Boots - Heavy Armor","https://lineage.pmfun.com/item/5786/majestic-boots--heavy-armor.html","armor_t83_b_i00_0.png","images/armor_t83_b_i00_0.png","","","","","","Sealed Majestic Boots","https://lineage.pmfun.com/item/5319/sealed-majestic-boots.html","P. Atk. +4% | Accuracy +3 | Stun Resistance +50% | STR +2 | Con -2"
"A Grade","Majestic Heavy Set","Heavy Armor Set","Majestic Circlet","https://lineage.pmfun.com/item/2419/majestic-circlet.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Majestic Circlet","https://lineage.pmfun.com/item/5317/sealed-majestic-circlet.html","P. Atk. +4% | Accuracy +3 | Stun Resistance +50% | STR +2 | Con -2"
"A Grade","Nightmare Heavy Set","Heavy Armor Set","Armor Of Nightmare","https://lineage.pmfun.com/item/374/armor-of-nightmare.html","armor_t80_ul_i00_0.png","images/armor_t80_ul_i00_0.png","","","","","","Sealed Armor Of Nightmare","https://lineage.pmfun.com/item/5311/sealed-armor-of-nightmare.html","P. Atk. +4% | Sleep and Hold Resistance +70% | CON +2 | DEX -2 | With a shield of nightmare, 5% of the damage inflicted by the enemy will be reflected back upon him."
"A Grade","Nightmare Heavy Set","Heavy Armor Set","Gauntlets Of Nightmare - Heavy Armor","https://lineage.pmfun.com/item/5771/gauntlets-of-nightmare--heavy-armor.html","armor_t80_g_i00_0.png","images/armor_t80_g_i00_0.png","","","","","","Sealed Gauntlets Of Nightmare","https://lineage.pmfun.com/item/5313/sealed-gauntlets-of-nightmare.html","P. Atk. +4% | Sleep and Hold Resistance +70% | CON +2 | DEX -2 | With a shield of nightmare, 5% of the damage inflicted by the enemy will be reflected back upon him."
"A Grade","Nightmare Heavy Set","Heavy Armor Set","Boots Of Nightmare - Heavy Armor","https://lineage.pmfun.com/item/5783/boots-of-nightmare--heavy-armor.html","armor_t80_b_i00_0.png","images/armor_t80_b_i00_0.png","","","","","","Sealed Boots Of Nightmare","https://lineage.pmfun.com/item/5314/sealed-boots-of-nightmare.html","P. Atk. +4% | Sleep and Hold Resistance +70% | CON +2 | DEX -2 | With a shield of nightmare, 5% of the damage inflicted by the enemy will be reflected back upon him."
"A Grade","Nightmare Heavy Set","Heavy Armor Set","Helm Of Nightmare","https://lineage.pmfun.com/item/2418/helm-of-nightmare.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Helm Of Nightmare","https://lineage.pmfun.com/item/5312/sealed-helm-of-nightmare.html","P. Atk. +4% | Sleep and Hold Resistance +70% | CON +2 | DEX -2 | With a shield of nightmare, 5% of the damage inflicted by the enemy will be reflected back upon him."
"A Grade","Nightmare Heavy Set","Heavy Armor Set","Shield Of Nightmare","https://lineage.pmfun.com/item/2498/shield-of-nightmare.html","shield_shield_of_nightmare_i00_0.png","images/shield_shield_of_nightmare_i00_0.png","","","","","","Sealed Shield Of Nightmare","https://lineage.pmfun.com/item/5315/sealed-shield-of-nightmare.html","P. Atk. +4% | Sleep and Hold Resistance +70% | CON +2 | DEX -2 | With a shield of nightmare, 5% of the damage inflicted by the enemy will be reflected back upon him."
"A Grade","Tallum Heavy Set","Heavy Armor Set","Tallum Plate Armor","https://lineage.pmfun.com/item/2382/tallum-plate-armor.html","armor_t77_ul_i00_0.png","images/armor_t77_ul_i00_0.png","","","","","","Sealed Tallum Plate Armor","https://lineage.pmfun.com/item/5293/sealed-tallum-plate-armor.html","Atk. Spd. +8% | Weight increased plus the point at which a weight penalty is applied +5759 | Poison and Bleed Resistance +80% | STR +2 | CON -2"
"A Grade","Tallum Heavy Set","Heavy Armor Set","Tallum Gloves - Heavy Armor","https://lineage.pmfun.com/item/5768/tallum-gloves--heavy-armor.html","armor_t77_g_i00_0.png","images/armor_t77_g_i00_0.png","","","","","","Sealed Tallum Gloves","https://lineage.pmfun.com/item/5295/sealed-tallum-gloves.html","Atk. Spd. +8% | Weight increased plus the point at which a weight penalty is applied +5759 | Poison and Bleed Resistance +80% | STR +2 | CON -2"
"A Grade","Tallum Heavy Set","Heavy Armor Set","Tallum Boots - Heavy Armor","https://lineage.pmfun.com/item/5780/tallum-boots--heavy-armor.html","armor_t77_b_i00_0.png","images/armor_t77_b_i00_0.png","","","","","","Sealed Tallum Boots","https://lineage.pmfun.com/item/5296/sealed-tallum-boots.html","Atk. Spd. +8% | Weight increased plus the point at which a weight penalty is applied +5759 | Poison and Bleed Resistance +80% | STR +2 | CON -2"
"A Grade","Tallum Heavy Set","Heavy Armor Set","Tallum Helm","https://lineage.pmfun.com/item/547/tallum-helm.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","","","","","","Sealed Tallum Helmet","https://lineage.pmfun.com/item/5294/sealed-tallum-helmet.html","Atk. Spd. +8% | Weight increased plus the point at which a weight penalty is applied +5759 | Poison and Bleed Resistance +80% | STR +2 | CON -2"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Breastplate","https://lineage.pmfun.com/item/365/dark-crystal-breastplate.html","armor_t74_u_i00_0.png","images/armor_t74_u_i00_0.png","","","","","","Sealed Dark Crystal Breastplate","https://lineage.pmfun.com/item/5287/sealed-dark-crystal-breastplate.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Gaiters","https://lineage.pmfun.com/item/388/dark-crystal-gaiters.html","armor_t74_l_i00_0.png","images/armor_t74_l_i00_0.png","","","","","","Sealed Dark Crystal Gaiters","https://lineage.pmfun.com/item/5288/sealed-dark-crystal-gaiters.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Gloves - Heavy Armor","https://lineage.pmfun.com/item/5765/dark-crystal-gloves--heavy-armor.html","armor_t74_g_i00_0.png","images/armor_t74_g_i00_0.png","","","","","","Sealed Dark Crystal Gloves","https://lineage.pmfun.com/item/5290/sealed-dark-crystal-gloves.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Boots - Heavy Armor","https://lineage.pmfun.com/item/5777/dark-crystal-boots--heavy-armor.html","armor_t74_b_i00_0.png","images/armor_t74_b_i00_0.png","","","","","","Sealed Dark Crystal Boots","https://lineage.pmfun.com/item/5291/sealed-dark-crystal-boots.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Helmet","https://lineage.pmfun.com/item/512/dark-crystal-helmet.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","","","","","","Sealed Dark Crystal Helmet","https://lineage.pmfun.com/item/5289/sealed-dark-crystal-helmet.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Dark Crystal Heavy Set","Heavy Armor Set","Dark Crystal Shield","https://lineage.pmfun.com/item/641/dark-crystal-shield.html","shield_dark_crystal_shield_i00_0.png","images/shield_dark_crystal_shield_i00_0.png","","","","","","Sealed Dark Crystal Shield","https://lineage.pmfun.com/item/5292/sealed-dark-crystal-shield.html","Heal +4% | Paralysis Resistance +50% | STR -2 | CON +2 | With a Dark Crystal Shield, shield defense rate +18%"
"A Grade","Majestic Light Set","Light Armor Set","Majestic Leather Armor","https://lineage.pmfun.com/item/2395/majestic-leather-armor.html","armor_t84_ul_i00_0.png","images/armor_t84_ul_i00_0.png","","","","","","Sealed Majestic Leather Armor","https://lineage.pmfun.com/item/5323/sealed-majestic-leather-armor.html","Archery P. Atk. +8% | MP +240 | Weight increased plus the point at which a weight penalty is applied +5759 | Stun Resistance +50% | DEX +1 | CON -1"
"A Grade","Majestic Light Set","Light Armor Set","Majestic Gauntlets - Light Armor","https://lineage.pmfun.com/item/5775/majestic-gauntlets--light-armor.html","armor_t84_g_i00_0.png","images/armor_t84_g_i00_0.png","","","","","","Sealed Majestic Gauntlets","https://lineage.pmfun.com/item/5318/sealed-majestic-gauntlets.html","Archery P. Atk. +8% | MP +240 | Weight increased plus the point at which a weight penalty is applied +5759 | Stun Resistance +50% | DEX +1 | CON -1"
"A Grade","Majestic Light Set","Light Armor Set","Majestic Boots - Light Armor","https://lineage.pmfun.com/item/5787/majestic-boots--light-armor.html","armor_t84_b_i00_0.png","images/armor_t84_b_i00_0.png","","","","","","Sealed Majestic Boots","https://lineage.pmfun.com/item/5319/sealed-majestic-boots.html","Archery P. Atk. +8% | MP +240 | Weight increased plus the point at which a weight penalty is applied +5759 | Stun Resistance +50% | DEX +1 | CON -1"
"A Grade","Majestic Light Set","Light Armor Set","Majestic Circlet","https://lineage.pmfun.com/item/2419/majestic-circlet.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Majestic Circlet","https://lineage.pmfun.com/item/5317/sealed-majestic-circlet.html","Archery P. Atk. +8% | MP +240 | Weight increased plus the point at which a weight penalty is applied +5759 | Stun Resistance +50% | DEX +1 | CON -1"
"A Grade","Nightmare Light Set","Light Armor Set","Nightmarish Leather Armor","https://lineage.pmfun.com/item/2394/nightmarish-leather-armor.html","armor_t81_ul_i00_0.png","images/armor_t81_ul_i00_0.png","","","","","","Sealed Leather Armor Of Nightmare","https://lineage.pmfun.com/item/5320/sealed-leather-armor-of-nightmare.html","M. Def. +4% | Sleep and Hold Resistance +70% | Restores 3% of melee damage inflicted on the enemy to oneself | DEX +1 | CON -1"
"A Grade","Nightmare Light Set","Light Armor Set","Gloves of Nightmare - Light Armor","https://lineage.pmfun.com/item/5772/gauntlets-of-nightmare--light-armor.html","armor_t81_g_i00_0.png","images/armor_t81_g_i00_0.png","","","","","","Sealed Gloves of Nightmare","https://lineage.pmfun.com/item/5313/sealed-gauntlets-of-nightmare.html","M. Def. +4% | Sleep and Hold Resistance +70% | Restores 3% of melee damage inflicted on the enemy to oneself | DEX +1 | CON -1"
"A Grade","Nightmare Light Set","Light Armor Set","Boots Of Nightmare - Light Armor","https://lineage.pmfun.com/item/5784/boots-of-nightmare--light-armor.html","armor_t81_b_i00_0.png","images/armor_t81_b_i00_0.png","","","","","","Sealed Boots Of Nightmare","https://lineage.pmfun.com/item/5314/sealed-boots-of-nightmare.html","M. Def. +4% | Sleep and Hold Resistance +70% | Restores 3% of melee damage inflicted on the enemy to oneself | DEX +1 | CON -1"
"A Grade","Nightmare Light Set","Light Armor Set","Helm Of Nightmare","https://lineage.pmfun.com/item/2418/helm-of-nightmare.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Helm Of Nightmare","https://lineage.pmfun.com/item/5312/sealed-helm-of-nightmare.html","M. Def. +4% | Sleep and Hold Resistance +70% | Restores 3% of melee damage inflicted on the enemy to oneself | DEX +1 | CON -1"
"A Grade","Tallum Light Set","Light Armor Set","Tallum Leather Armor","https://lineage.pmfun.com/item/2393/tallum-leather-armor.html","armor_t78_ul_i00_0.png","images/armor_t78_ul_i00_0.png","","","","","","Sealed Tallum Leather Armor","https://lineage.pmfun.com/item/5301/sealed-tallum-leather-armor.html","MP Regeneration +8% | MP +222 | Poison and Bleed Resistance +80% | MEN +2 | WIT -2"
"A Grade","Tallum Light Set","Light Armor Set","Tallum Gloves - Light Armor","https://lineage.pmfun.com/item/5769/tallum-gloves--light-armor.html","armor_t78_g_i00_0.png","images/armor_t78_g_i00_0.png","","","","","","Sealed Tallum Gloves","https://lineage.pmfun.com/item/5295/sealed-tallum-gloves.html","MP Regeneration +8% | MP +222 | Poison and Bleed Resistance +80% | MEN +2 | WIT -2"
"A Grade","Tallum Light Set","Light Armor Set","Tallum Boots - Light Armor","https://lineage.pmfun.com/item/5781/tallum-boots--light-armor.html","armor_t78_b_i00_0.png","images/armor_t78_b_i00_0.png","","","","","","Sealed Tallum Boots","https://lineage.pmfun.com/item/5296/sealed-tallum-boots.html","MP Regeneration +8% | MP +222 | Poison and Bleed Resistance +80% | MEN +2 | WIT -2"
"A Grade","Tallum Light Set","Light Armor Set","Tallum Helm","https://lineage.pmfun.com/item/547/tallum-helm.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","","","","","","Sealed Tallum Helmet","https://lineage.pmfun.com/item/5294/sealed-tallum-helmet.html","MP Regeneration +8% | MP +222 | Poison and Bleed Resistance +80% | MEN +2 | WIT -2"
"A Grade","Dark Crystal Light Set","Light Armor Set","Dark Crystal Leather Armor","https://lineage.pmfun.com/item/2385/dark-crystal-leather-armor.html","armor_t75_u_i00_0.png","images/armor_t75_u_i00_0.png","","","","","","Sealed Dark Crystal Leather Armor","https://lineage.pmfun.com/item/5297/sealed-dark-crystal-leather-armor.html","Atk. Spd. +4% | P. Atk. +4% | Paralysis Resistance +50% | STR +1 | CON -1"
"A Grade","Dark Crystal Light Set","Light Armor Set","Dark Crystal Leggings","https://lineage.pmfun.com/item/2389/dark-crystal-leggings.html","armor_t75_l_i00_0.png","images/armor_t75_l_i00_0.png","","","","","","Sealed Dark Crystal Leggings","https://lineage.pmfun.com/item/5298/sealed-dark-crystal-leggings.html","Atk. Spd. +4% | P. Atk. +4% | Paralysis Resistance +50% | STR +1 | CON -1"
"A Grade","Dark Crystal Light Set","Light Armor Set","Dark Crystal Gloves - Light Armor","https://lineage.pmfun.com/item/5766/dark-crystal-gloves--light-armor.html","armor_t75_g_i00_0.png","images/armor_t75_g_i00_0.png","","","","","","Sealed Dark Crystal Gloves","https://lineage.pmfun.com/item/5290/sealed-dark-crystal-gloves.html","Atk. Spd. +4% | P. Atk. +4% | Paralysis Resistance +50% | STR +1 | CON -1"
"A Grade","Dark Crystal Light Set","Light Armor Set","Dark Crystal Boots - Light Armor","https://lineage.pmfun.com/item/5778/dark-crystal-boots--light-armor.html","armor_t75_b_i00_0.png","images/armor_t75_b_i00_0.png","","","","","","Sealed Dark Crystal Boots","https://lineage.pmfun.com/item/5291/sealed-dark-crystal-boots.html","Atk. Spd. +4% | P. Atk. +4% | Paralysis Resistance +50% | STR +1 | CON -1"
"A Grade","Dark Crystal Light Set","Light Armor Set","Dark Crystal Helmet","https://lineage.pmfun.com/item/512/dark-crystal-helmet.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","","","","","","Sealed Dark Crystal Helmet","https://lineage.pmfun.com/item/5289/sealed-dark-crystal-helmet.html","Atk. Spd. +4% | P. Atk. +4% | Paralysis Resistance +50% | STR +1 | CON -1"
"A Grade","Majestic Robe Set","Robe Set","Majestic Robe","https://lineage.pmfun.com/item/2409/majestic-robe.html","armor_t85_ul_i00_0.png","images/armor_t85_ul_i00_0.png","","","","","","Sealed Majestic Robe","https://lineage.pmfun.com/item/5329/sealed-majestic-robe.html","MP +240 | Casting Spd. +15% | MP Regeneration +8% | Stun Resistance +50% | MEN +1 | INT -1"
"A Grade","Majestic Robe Set","Robe Set","Majestic Gloves - Robe","https://lineage.pmfun.com/item/5776/majestic-gauntlets--robe.html","armor_t85_g_i00_0.png","images/armor_t85_g_i00_0.png","","","","","","Sealed Majestic Gloves","https://lineage.pmfun.com/item/5318/sealed-majestic-gauntlets.html","MP +240 | Casting Spd. +15% | MP Regeneration +8% | Stun Resistance +50% | MEN +1 | INT -1"
"A Grade","Majestic Robe Set","Robe Set","Majestic Boots - Robe","https://lineage.pmfun.com/item/5788/majestic-boots--robe.html","armor_t85_b_i00_0.png","images/armor_t85_b_i00_0.png","","","","","","Sealed Majestic Boots","https://lineage.pmfun.com/item/5319/sealed-majestic-boots.html","MP +240 | Casting Spd. +15% | MP Regeneration +8% | Stun Resistance +50% | MEN +1 | INT -1"
"A Grade","Majestic Robe Set","Robe Set","Majestic Circlet","https://lineage.pmfun.com/item/2419/majestic-circlet.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Majestic Circlet","https://lineage.pmfun.com/item/5317/sealed-majestic-circlet.html","MP +240 | Casting Spd. +15% | MP Regeneration +8% | Stun Resistance +50% | MEN +1 | INT -1"
"A Grade","Nightmare Robe Set","Robe Set","Nightmare Robe","https://lineage.pmfun.com/item/2408/nightmare-robe.html","armor_t82_ul_i00_0.png","images/armor_t82_ul_i00_0.png","","","","","","Sealed Nightmare Robe","https://lineage.pmfun.com/item/5326/sealed-nightmare-robe.html","MP Regeneration +4% | M. Atk. +8% | Sleep and Hold Resistance +70% | INT +2 | WIT -2"
"A Grade","Nightmare Robe Set","Robe Set","Gloves Of Nightmare - Robe","https://lineage.pmfun.com/item/5773/gauntlets-of-nightmare--robe.html","armor_t82_g_i00_0.png","images/armor_t82_g_i00_0.png","","","","","","Sealed Gloves Of Nightmare","https://lineage.pmfun.com/item/5313/sealed-gauntlets-of-nightmare.html","MP Regeneration +4% | M. Atk. +8% | Sleep and Hold Resistance +70% | INT +2 | WIT -2"
"A Grade","Nightmare Robe Set","Robe Set","Boots Of Nightmare - Robe","https://lineage.pmfun.com/item/5785/boots-of-nightmare--robe.html","armor_t82_b_i00_0.png","images/armor_t82_b_i00_0.png","","","","","","Sealed Boots Of Nightmare","https://lineage.pmfun.com/item/5314/sealed-boots-of-nightmare.html","MP Regeneration +4% | M. Atk. +8% | Sleep and Hold Resistance +70% | INT +2 | WIT -2"
"A Grade","Nightmare Robe Set","Robe Set","Helm Of Nightmare","https://lineage.pmfun.com/item/2418/helm-of-nightmare.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","","","","","","Sealed Helm Of Nightmare","https://lineage.pmfun.com/item/5312/sealed-helm-of-nightmare.html","MP Regeneration +4% | M. Atk. +8% | Sleep and Hold Resistance +70% | INT +2 | WIT -2"
"A Grade","Tallum Robe Set","Robe Set","Tallum Tunic","https://lineage.pmfun.com/item/2400/tallum-tunic.html","armor_t79_u_i00_0.png","images/armor_t79_u_i00_0.png","","","","","","Sealed Tallum Tunic","https://lineage.pmfun.com/item/5304/sealed-tallum-tunic.html","Casting Spd. +15% | M. Def. +8% | Poison and Bleed Resistance +80% | INT -2 | WIT +2"
"A Grade","Tallum Robe Set","Robe Set","Tallum Stockings","https://lineage.pmfun.com/item/2405/tallum-stockings.html","armor_t79_l_i00_0.png","images/armor_t79_l_i00_0.png","","","","","","Sealed Tallum Stockings","https://lineage.pmfun.com/item/5305/sealed-tallum-stockings.html","Casting Spd. +15% | M. Def. +8% | Poison and Bleed Resistance +80% | INT -2 | WIT +2"
"A Grade","Tallum Robe Set","Robe Set","Tallum Gloves - Robe","https://lineage.pmfun.com/item/5770/tallum-gloves--robe.html","armor_t79_g_i00_0.png","images/armor_t79_g_i00_0.png","","","","","","Sealed Tallum Gloves","https://lineage.pmfun.com/item/5295/sealed-tallum-gloves.html","Casting Spd. +15% | M. Def. +8% | Poison and Bleed Resistance +80% | INT -2 | WIT +2"
"A Grade","Tallum Robe Set","Robe Set","Tallum Boots - Robe","https://lineage.pmfun.com/item/5782/tallum-boots--robe.html","armor_t79_b_i00_0.png","images/armor_t79_b_i00_0.png","","","","","","Sealed Tallum Boots","https://lineage.pmfun.com/item/5296/sealed-tallum-boots.html","Casting Spd. +15% | M. Def. +8% | Poison and Bleed Resistance +80% | INT -2 | WIT +2"
"A Grade","Tallum Robe Set","Robe Set","Tallum Helm","https://lineage.pmfun.com/item/547/tallum-helm.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","","","","","","Sealed Tallum Helmet","https://lineage.pmfun.com/item/5294/sealed-tallum-helmet.html","Casting Spd. +15% | M. Def. +8% | Poison and Bleed Resistance +80% | INT -2 | WIT +2"
"A Grade","Dark Crystal Robe Set","Robe Set","Dark Crystal Robe","https://lineage.pmfun.com/item/2407/dark-crystal-robe.html","armor_t76_ul_i00_0.png","images/armor_t76_ul_i00_0.png","","","","","","Sealed Dark Crystal Robe","https://lineage.pmfun.com/item/5308/sealed-dark-crystal-robe.html","P. Def. +8% | Casting Spd. +15% | Speed +7 | Small decrease in chance of spell interruption | Paralysis Resistance +50% | WIT +2 | MEN -2"
