Role,ID,Name_EN,Name_RU,Level,Race,EXP,Icon
Boss,cronoss_summons_mumu,"Cronos's Servitor Mumu","Служитель Кроноса Маму",34,Elemental,1918617,/skill4296.webp
Boss,revenant_of_sir_calibus,"Revenant of Sir Calibus","Призрак Сэра Калибуса",34,Undead,1918617,/skill4290.webp
Boss,remmel,"Remmel","Реммель",35,Humanoid,1912395,/skill4295.webp
Boss,grandeur_soul_chertuba,"Chertuba of Great Soul","Чертуба Великий Дух",35,Humanoid,1912395,/skill4295.webp
Boss,sejarr_s_summoner,"Sejarr's Servitor","Служитель Седжара",35,Animal,1912395,/skill4293.webp
Boss,warden_guillotine,"Guilotine, Warden of the Execution Grounds","Смотритель Земли Казненных Гильотин",35,Undead,1912395,/skill4290.webp
Boss,flamelord_shadar,"Flame Lord Shadar","Повелитель Пламени Шадар",35,Demonic,1912395,/skill4298.webp
Boss,tasaba_patriarch_hellena,"Tasaba Patriarch Hellena","Хелена Патриарх Тасаба",35,Humanoid,1912395,/skill4295.webp
Boss,soul_collector_acheron,"Soul Collector Acheron","Собиратель Душ Ашерон",35,Demonic,1912395,/skill4298.webp
Boss,gargoyle_lord_sirocco,"Gargoyle Lord Sirocco","Повелитель Горгулий Сирокко",35,Construct,1912395,/skill4291.webp
Boss,redeye_leader_trakia,"Red Eye Captain Trakia","Красноглазый Капитан Тракиа",35,Humanoid,1912395,/skill4295.webp
Boss,eyes_of_bereth,"Eye of Beleth","Глаз Белефа",35,Construct,1912395,/skill4291.webp
Boss,sebek,"Sebek","Себек",36,Humanoid,1916442,/skill4295.webp
Boss,demon_tempest,"Evil Spirit Tempest","Беспокойный Злой Дух",36,Demonic,1916442,/skill4298.webp
Boss,rayito_the_looter,"Rayito the Looter","Грабитель Раито",37,Humanoid,1932589,/skill4295.webp
Boss,lizardman_leader_hellion,"Lizardmen Leader Hellion","Глава Ящеров Хеллион",38,Humanoid,1957608,/skill4295.webp
Boss,r18_leader_anakazel,"Anakazel","Анаказель",38,Demonic,1370326,/skill4298.webp
Boss,premo_prime_the_creature,"Premo Prime","Премо Прайм",38,Giant,1957608,/skill4300.webp
Boss,lost_cat_the_cat_a,"Leader of Cat Gang","Лидер Кошачьей Банды",39,Elemental,1988451,/skill4296.webp
Boss,spirits_of_nellis,"Nellis' Vengeful Spirit","Мстительный Дух Нелли",39,Undead,1988451,/skill4290.webp
Boss,wizard_of_storm_teruk,"Wizard of Storm Teruk","Чародей Бури Терук",40,Humanoid,2030965,/skill4295.webp
Boss,icarus_sample_21,"Icarus Sample 1","Тварь Икара I",40,Construct,2741414,/skill4291.webp
Boss,leto_chief_talkin,"Leto Chief Talkin","Глава Лито Талкин",40,Humanoid,2030965,/skill4295.webp
Boss,shaman_king_selu,"Shaman King Selu","Король Шаманов Селу",40,Humanoid,2741414,/skill4295.webp
Boss,water_couatl_ateka,"Water Couatle Ateka","Водный Змей Атека",40,Beast,2030965,/skill4292.webp
Boss,fafurions_pagehood_sika,"Fafurion's Page Sika","Сика Паж Фафуриона",40,Giant,2030965,/skill4300.webp
Boss,road_scavenger_leader,"Road Scavenger Leader","Главарь Придорожных Падальщиков",40,Humanoid,2030965,/skill4295.webp
Boss,nakondas,"Nakondas","Накондас",40,Dragon,2030965,/skill4299.webp
Boss,water_spirit_lian,"Water Spirit Lian","Дух Воды Лиан",40,Fairy,2030965,/skill4302.webp
Boss,gwindorr,"Gwindorr","Гвиндорр",40,Beast,2030965,/skill4292.webp
Boss,queen_ant,"Queen Ant","Королева Муравьев",40,Bug,2179536,/skill4301.webp
Boss,retreat_spider_cletu,"Retreat Spider Cletu","Паук Клету",42,Bug,3062105,/skill4301.webp
Boss,crazy_mechanic_golem,"Crazy Mechanic Golem","Сумасшедший Механический Голем",43,Construct,3128858,/skill4291.webp
Boss,earth_protecter_panathen,"Earth Protector Panathen","Панатен Защитник Земли",43,Humanoid,1976893,/skill4295.webp
Boss,timak_orc_hunter_a,"Timak Orc Chief Ranger","Глава Рейнджеров Орков Тимак",44,Humanoid,3196387,/skill4295.webp
Boss,repiro_rot_tree,"Rotten Tree Repiro","Трухлявое Дерево Репиро",44,Plant,2030767,/skill4294.webp
Boss,dread_avenger_kraven,"Dread Avenger Kraven","Грозный Мститель Крейвен",44,Undead,2030767,/skill4290.webp
Boss,flamestone_golem,"Flamestone Golem","Раскаленный Голем",44,Construct,2030767,/skill4291.webp
Boss,kelbar,"Thief Kelbar","Вор Келбар",44,Humanoid,2030767,/skill4295.webp
Boss,biconne_of_blue_sky,"Biconne of Blue Sky","Птицезмей",45,Beast,2085510,/skill4292.webp
Boss,shacram,"Shacram","Шакрам",45,Giant,2085510,/skill4300.webp
Boss,king_tiger_karuta,"Tiger King Karuta","Король Тигров Карута",45,Beast,2085510,/skill4292.webp
Boss,iron_giant_totem,"Iron Giant Totem","Железный Гигантский Тотем",45,Construct,3259016,/skill4291.webp
Boss,archon_susceptor,"Archon Suscepter","Сусцептор Архонт",45,Construct,2085510,/skill4291.webp
Boss,timak_orc_gosmos,"Timak Orc Gosmos","Орк Тимак Госмос",45,Humanoid,2085510,/skill4295.webp
Boss,monster_cyrion,"Evil Spirit Cyrion","Злой Дух Сирион",45,Dragon,2085510,/skill4299.webp
Boss,istary_papurrion,"Fafurion's Henchman Istary","Оруженосец Фафуриона Истари",45,Humanoid,2085510,/skill4295.webp
Boss,barion,"Barion","Барион",47,Undead,2205665,/skill4290.webp
Boss,necrosentinel_guard,"Necrosentinel Royal Guard","Королевский Некростраж",47,Undead,2205665,/skill4290.webp
Boss,king_tarlk,"King Tarlk","Король Тарлк",48,Giant,3443211,/skill4300.webp
Boss,r28_leader_anakazel,"Anakazel","Анаказель",48,Demonic,1586608,/skill4298.webp
Boss,handmaiden_of_orfen,"Orfen's Handmaiden","Служанка Орфена",48,Bug,2266583,/skill4301.webp
Boss,katu_van_atui,"Katu Van Leader Atui","Кату Главарь Авангарда Атуи",49,Humanoid,2328069,/skill4295.webp
Boss,karte,"Karte","Карте",49,Undead,2328069,/skill4290.webp
Boss,oblivion_s_mirror,"Mirror of Oblivion","Зеркало Забвения",49,Fairy,2328069,/skill4302.webp
Boss,ghost_of_peasant_leader,"Ghost of Peasant Leader","Призрак Главаря Крестьян",50,Undead,3551193,/skill4290.webp
Boss,obern_mgr_of_fairyqueen,"Messenger of Fairy Queen Berun","Посланник Королевы Фей Берун",50,Fairy,3551193,/skill4302.webp
Boss,carnage_lord_gato,"Carnage Lord Gato","Кровавый Повелитель Гато",50,Humanoid,2389767,/skill4295.webp
Boss,cursed_clala,"Cursed Clara","Проклятая Клара",50,Beast,2389767,/skill4292.webp
Boss,carnamakos,"Carnamakos","Карнамакос",50,Construct,3551193,/skill4291.webp
Boss,liliths_oracle_marilion,"Lilith's Witch Marilion","Марилион Ведьма Лилит",50,Demonic,3551193,/skill4298.webp
Boss,chief_mate_tilion,"Zaken's Chief Mate Tillion","Тилион Первый Помощник Закена",50,Undead,2389767,/skill4290.webp
Boss,core,"Core","Ядро",50,Construct,2041407,/skill4291.webp
Boss,orfen,"Orfen","Орфен",50,Fairy,2041407,/skill4302.webp
Boss,verfa,"Verfa","Верфа",51,Undead,2256714,/skill4290.webp
Boss,ereve_deathman,"Deadman Ereve","Мертвец Эрив",51,Undead,2256714,/skill4290.webp
Boss,master_of_ledflag_shaka,"Captain of Red Flag Shaka","Капитан Красного Флага Шака",52,Humanoid,3849013,/skill4295.webp
Boss,grave_rabber_khim,"Grave Robber Kim","Расхититель Могил Ким",52,Humanoid,2313340,/skill4295.webp
Boss,papurrion_pingolpin,"Fafurion's Envoy Pingolpin","Посланник Фафуриона Пинголпин",52,Bug,2313340,/skill4301.webp
Boss,dr_chaos_gigantic_golem,"Gigantic Chaos Golem","Гигантский Голем Хаоса",52,Construct,2313340,/skill4291.webp
Boss,atraiban,"Atraiban","Атрайбан",53,Construct,3895772,/skill4291.webp
Boss,magician_kenishee,"Magus Kenishee","Маг Кениши",53,Demonic,2368104,/skill4298.webp
Boss,darkness_shaman_baranka,"Dark Shaman Varangka ","Темный Шаман Фаранги",53,Humanoid,2368104,/skill4295.webp
Boss,unicorn_paniel,"Paniel the Unicorn","Единорог Паниэль",54,Elemental,2422283,/skill4296.webp
Boss,furious_thieles,"Furious Thieles","Яростный Тилес",55,Elemental,3983098,/skill4296.webp
Boss,fairys_watcher_ruell,"Enchanted Forest Watcher Ruell","Смотритель Зачарованного Леса Руэль",55,Elemental,2477107,/skill4296.webp
Boss,sorcery_isirr,"Sorcerer Isirr","Волшебник Исирр",55,Humanoid,2477107,/skill4295.webp
Boss,bereths_seer_sephia,"Beleth's Seer Sephia","Пророк Белефа Сефия",55,Demonic,2477107,/skill4298.webp
Boss,witch_wimere,"Black Lily","Черная Лилия",55,Demonic,2477107,/skill4298.webp
Boss,harit_hero_tamash,"Harit Hero Tamash","Герой Харит Тамаш",55,Humanoid,3983098,/skill4295.webp
Boss,zakens_butcher_krantz,"Zaken's Butcher Krantz","Мясник Закена Кранц",55,Giant,3983098,/skill4300.webp
Boss,pagan_warder_cerberon,"Pagan Watcher Cerberon","Языческий Смотритель Церберон",55,Angel,3983098,/skill4297.webp
Boss,bandit_leader_barda,"Bandit Leader Barda","Барда Главарь Банды",55,Humanoid,2477107,/skill4295.webp
Boss,ghost_kabed,"Ghost Knight Kabed","Призрачный Рыцарь Кабед",55,Undead,2477107,/skill4290.webp
Boss,niniel_spirit_eva,"Eva's Spirit Niniel","Ниниэль Дух Евы",55,Elemental,2477107,/skill4296.webp
Boss,refuge_hoper_leo,"Refugee Hopeful Leo","Отчаявшийся Беженец Лео",56,Humanoid,2529799,/skill4295.webp
Boss,harit_tutelar_garangky,"Harit Guardian Garangky","Стражник Харита Гаранки",56,Beast,2529799,/skill4292.webp
Boss,timak_seer_ragoth,"Timak Seer Ragoth","Пророк Тимака Рагот",57,Humanoid,2581681,/skill4295.webp
Boss,eva_guardian_millenu,"Eva's Guardian Millenu","Стражник Евы Миллену",58,Demonic,4092905,/skill4298.webp
Boss,r38_leader_anakazel,"Anakazel","Анаказель",58,Demonic,1843815,/skill4298.webp
Boss,soulless_wild_boar,"Soulless Wild Boar","Бездушный Дикий Кабан",59,Animal,2684275,/skill4293.webp
Boss,kurikups,"Demon Kurikups","Демон Курикупс",59,Demonic,2684275,/skill4298.webp
Boss,nightmare_drake,"Abyss Brukunt","Крыло Бездны",59,Dragon,2684275,/skill4299.webp
Boss,freya_royalguard,"Captain of the Ice Queen's Royal Guard","Начальник Стражи Снежной Королевы",59,Construct,1749007,/skill4291.webp
Boss,guardian_3_of_garden,"The 3rd Underwater Guardian","Третий Подводный Стражник",60,Construct,4154684,/skill4291.webp
Boss,manes_lidia,"Ghost of the Well Lidia","Лидия Призрак Родника",60,Demonic,2735033,/skill4298.webp
Boss,giant_marpanak,"Giant Marpanak","Гигант Марпанак",60,Giant,4154684,/skill4300.webp
Boss,hatos,"Guardian of the Statue of Giant Karum","Стражник Статуи Гиганта Карума",60,Giant,2735033,/skill4300.webp
Boss,ancient_weird_drake,"Ancient Weird Drake","Древний Астральный Дрейк",60,Dragon,2735033,/skill4299.webp
Boss,taik_prefect_arak,"Taik High Prefect Arak","Понтифик Тайк Арак",60,Humanoid,2735033,/skill4295.webp
Boss,lord_ishka,"Lord Ishka ","Лорд Ишка",60,Undead,2735033,/skill4290.webp
Boss,zaken,"Zaken","Закен",60,Undead,4879746,/skill4290.webp
Boss,ice_fairy_sirr,"Ice Fairy Sirra","Ледяная Фея Сирра",60,Elemental,1610848,/skill4296.webp
Boss,fairy_queen_timiniel,"Fairy Queen Timiniel","Королева Фей Тиминиэль",61,Fairy,2601295,/skill4302.webp
Boss,roaring_seer_kastor,"Roaring Lord Kastor","Ревущий Лорд Кастор",62,Humanoid,4417539,/skill4295.webp
Boss,gorgolos,"Gorgolos","Горголос",64,Construct,2736355,/skill4291.webp
Boss,rahha,"Rahha","Рахха",65,Demonic,4489693,/skill4298.webp
Boss,fiercetiger_king_angel,"Fierce Tiger King Angel","Свирепый Король Тигров",65,Beast,4489693,/skill4292.webp
Boss,hekaton_prime,"Hekaton Prime","Хекатон Прайм",65,Construct,4489693,/skill4291.webp
Boss,gargoyle_lord_tiphon,"Gargoyle Lord Tiphon","Повелитель Горгулий Тифон",65,Construct,4489693,/skill4291.webp
Boss,enmity_ghost_ramdal,"Enmity Ghost Ramdal","Враждебный Призрак Рамдал",65,Undead,2780578,/skill4290.webp
Boss,priest_hisilrome,"Shilen's Priest Hisilrome","Хисилром Жрец Шилен",65,Beast,2780578,/skill4292.webp
Boss,demonic_agent_falston,"Demon's Agent Falston","Агент Демона Фальстон",66,Demonic,4512325,/skill4298.webp
Boss,last_lesser_utenus,"Last Titan Utenus","Последний Гигант Утенус",66,Giant,2826358,/skill4300.webp
Boss,malruks_oracle_sekina,"Kernon's Faithful Servant Kelone","Ведьма Келона",67,Beast,4534433,/skill4292.webp
Boss,r48_leader_anakazel,"Anakazel","Анаказель",68,Demonic,2044017,/skill4298.webp
Boss,bloody_priest_rudelto,"Bloody Priest Rudelto","Кровавый Жрец Рудельто",69,Demonic,4576841,/skill4298.webp
Boss,spirit_andras_betrayer,"Spirit of Andras, the Betrayer","Дух Предателя Анраса",69,Undead,2969653,/skill4290.webp
Boss,domb_death_cabrio,"Shilen's Messenger Cabrio","Посланец Шилен Кабрио",70,Demonic,4596479,/skill4298.webp
Boss,korim,"Korim","Корим",70,Humanoid,4596479,/skill4295.webp
Boss,roar_skylancer,"Roaring Skylancer","Ревущий Налетчик",70,Dragon,4596479,/skill4299.webp
Boss,faf_herald_lokness,"Fafurion's Herald Lokness","Герольд Фафуриона Локнес",70,Dragon,4596479,/skill4299.webp
Boss,palibati_queen_themis,"Palibati Queen Themis","Королева Фалибати Темис",70,Beast,4596479,/skill4292.webp
Boss,beastlord_behemoth,"Beast Lord Behemoth","Повелитель Зверей Бехемот",70,Giant,4596479,/skill4300.webp
Boss,anakims_nemesis_zakaron,"Anakim's Nemesis Zakaron","Закарон Возмездия Анаким",70,Demonic,4596479,/skill4298.webp
Boss,blinding_fire_barakiel,"Flame of Splendor Barakiel","Баракиэль",70,Angel,4596479,/skill4297.webp
Boss,meanas_anor,"Meanas Anor","Минас Анор",70,Dragon,4596479,/skill4299.webp
Boss,raid_boss_von_helman,"Eilhalder von Hellmann","Айнхалдер фон Хельман",71,Demonic,5113018,/skill4298.webp
Boss,hope_immortality_mardil,"Immortal Savior Mardil","Бессмертный Спаситель Мадрил",71,Demonic,3074084,/skill4298.webp
Boss,wdragon_priest_sheshark,"Water Dragon Seer Sheshark","Пророк Фафуриона Шешарк",72,Humanoid,5140647,/skill4295.webp
Boss,vanor_chief_kandra,"Vanor Chief Kandra","Глава Ванор Кандра",72,Humanoid,5140647,/skill4295.webp
Boss,doom_blade_tanatos,"Doom Blade Tanatos","Клинок Судьбы Танатос",72,Demonic,5140647,/skill4298.webp
Boss,hallate_the_death_lord,"Death Lord Hallate","Лорд Смерти Халлет",73,Undead,5168419,/skill4290.webp
Boss,degeneration_golem,"Plague Golem","Чумной Голем",73,Construct,5168419,/skill4291.webp
Boss,antaras_cloe,"Antharas Priest Cloe","Жрица Антараса Кло",74,Demonic,5199407,/skill4298.webp
Boss,krokian_padisha_sobekk,"Krokian Padisha Sobekk","Крок Падиша Собекк",74,Humanoid,5199407,/skill4295.webp
Boss,icicle_king_umpaloopa,"Icicle Emperor Bumbalump","Ледяной Император Бамбаламп",74,Giant,5199407,/skill4300.webp
Boss,kernon,"Kernon","Кернон ",75,Demonic,5231148,/skill4298.webp
Boss,storm_winged_naga,"Storm Winged Naga","Нага Буреносец",75,Dragon,5231148,/skill4299.webp
Boss,last_lesser_olkuth,"Last Lesser Giant Olkuth","Последний Младший Гигант Олкут",75,Giant,5231148,/skill4300.webp
Boss,bloody_tree_vermilion,"Palatanos of Horrific Power","Палатанос Ужасающей Мощи",75,Plant,5231148,/skill4294.webp
Boss,bloody_empress_decarbia,"Bloody Empress Decarbia","Кровавая Императрица Декарбия",75,Demonic,5231148,/skill4298.webp
Boss,ipos_the_death_lord,"Death Lord Ipos","Лорд Смерти Ипос",75,Undead,5231148,/skill4290.webp
Boss,shax_the_death_lord,"Death Lord Shax","Лорд Смерти Шакс",75,Undead,5231148,/skill4290.webp
Boss,baium,"Baium","Баюм",75,Undead,10253400,/skill4290.webp
Boss,baium_npc,"Baium","Баюм",75,Undead,,/skill4290.webp
Boss,benom,"Benom","Беном",75,Demonic,2499951,/skill4298.webp
Boss,ocean_flame_ashakiel,"Ocean Flame Ashakiel","Ашакиэль Океан Пламени",76,Angel,5267108,/skill4297.webp
Boss,flame_stone_golem,"Flamestone Giant","Гигант из Горящего Камня",76,Construct,5267108,/skill4291.webp
Boss,shuriel_fire_of_wrath,"Fire of Wrath Shuriel","Шуриэль Пламя Гнева",78,Angel,5346496,/skill4297.webp
Boss,last_lesser_glaki,"Last Lesser Giant Glaki","Последний Младший Гигант Глаки",78,Giant,5346496,/skill4300.webp
Boss,daemon_of_hundred_eyes,"Daimon the White-Eyed","Белоглазый Демон",78,Construct,5346496,/skill4291.webp
Boss,geyser_guardian_hestia,"Hestia, Guardian Deity of the Hot Springs","Божественный Стражник Горячих Источников Гестия",78,Fairy,5346496,/skill4302.webp
Boss,r58_leader_anakazel,"Anakazel","Анаказель",78,Demonic,2504378,/skill4298.webp
Boss,golkonda_longhorn,"Longhorn Golkonda","Длиннорогий Голконда",79,Giant,5390003,/skill4300.webp
Boss,cherub_garacsia,"Cherub Galaxia","Херувим Галаксия",79,Angel,5390003,/skill4297.webp
Boss,antaras,"Antharas","Антарас",79,Dragon,262720918,/skill4299.webp
Boss,antaras_min,"Antharas","Антарас",79,Dragon,262720918,/skill4299.webp
Boss,antaras_normal,"Antharas","Антарас",79,Dragon,354676030,/skill4299.webp
Boss,antaras_max,"Antharas","Антарас",79,Dragon,446624683,/skill4299.webp
Boss,lilith,"Lilith","Лилит",80,Demonic,9911897,/skill4298.webp
Boss,anakim,"Anakim","Анаким",80,Angel,9911897,/skill4297.webp
Boss,ketra_hero_hekaton,"Ketra's Hero Hekaton","Герой Кетра Хекатон",80,Humanoid,3775961,/skill4295.webp
Boss,ketra_commander_tayr,"Ketra's Commander Tayr","Командир Кетра Тайр",80,Humanoid,3775961,/skill4295.webp
Boss,ketra_chief_brakki,"Ketra's Chief Brakki","Глава Кетра Бракки",80,Animal,3775961,/skill4293.webp
Boss,flame_spirit_nastron,"Soul of Fire Nastron","Дух Огня Настрон",80,Elemental,2643173,/skill4296.webp
Boss,varka_hero_shadith,"Varka's Hero Shadith","Герой Варка Шадит",80,Humanoid,3775961,/skill4295.webp
Boss,varka_commnder_mos,"Varka's Commander Mos","Командир Варка Мос",80,Humanoid,3775961,/skill4295.webp
Boss,varka_chief_horuth,"Varka's Chief Horus","Глава Варка Хорус",80,Humanoid,3775961,/skill4295.webp
Boss,water_spirit_ashutar,"Soul of Water Ashutar","Дух Воды Ашутар",80,Elemental,2643173,/skill4296.webp
Boss,amber,"Ember","Эмбер",80,Dragon,5437589,/skill4299.webp
Boss,halisha_alectia,"Shadow of Halisha","Тень Халиши",80,Demonic,2643173,/skill4298.webp
Boss,halisha_tishas,"Shadow of Halisha","Тень Халиши",80,Demonic,2643173,/skill4298.webp
Boss,halisha_mekara,"Shadow of Halisha","Тень Халиши",80,Demonic,2643173,/skill4298.webp
Boss,halisha_morigul,"Shadow of Halisha","Тень Халиши",80,Demonic,2643173,/skill4298.webp
Boss,spike_stakato_qn_shyid,"Queen Shyeed","Королева Шиид",80,Humanoid,3775961,/skill4295.webp
Boss,uruka,"Uruka","Урука",80,Humanoid,3775961,/skill4295.webp
Boss,triolls_priest_andreas,"High Priestess van Halter","Андреас Ван Холтер",80,Humanoid,2915973,/skill4295.webp
Boss,sailren,"Sailren","Сэйлрен",80,Beast,4569145,/skill4292.webp
Boss,gordon,"Gordon","Гордон",80,Demonic,5885017,/skill4298.webp
Boss,anais_brilliance_master,"Lord of Splendor Anays","Анаис",80,Angel,8827525,/skill4297.webp
Boss,fenril_hound_kerinne,"Fenril Hound Kerinne","Пес Фенрила Керин",84,Beast,2407887,/skill4292.webp
Boss,fenril_hound_freki,"Fenril Hound Freki","Пес Фенрила Фреки",84,Beast,2434088,/skill4292.webp
Boss,fenril_hound_uruz,"Fenril Hound Uruz","Пес Фенрила Уруз",84,Beast,2466262,/skill4292.webp
Boss,fenril_hound_kinaz,"Fenril Hound Kinaz","Пес Фенрила Киназ",84,Beast,2504880,/skill4292.webp
Boss,valakas_sentinel_ixion,"Wings of Flame, Ixion","Иксион Крылья Пламени",84,Dragon,2535975,/skill4299.webp
Boss,valakas,"Valakas","Валакас",85,Dragon,284286178,/skill4299.webp
Boss,frintessa,"Frintezza","Принтесс",85,Humanoid,,/skill4295.webp
Boss,follower_of_frintessa,"Scarlet van Halisha","Скарлет Ван Халиша",85,Demonic,,/skill4298.webp
Boss,follower_of_frintessa_tr,"Scarlet van Halisha","Скарлет Ван Халиша",85,Demonic,111550355,/skill4298.webp
Monster,tuto_keltir,"Bearded Keltir","Бородатый Шакал",1,Animal,29,/skill4293.webp
Monster,tutorial_gremlin,"Gremlin","Гремлин",1,Fairy,29,/skill4302.webp
Monster,gremlin,"Gremlin","Гремлин",1,Fairy,29,/skill4302.webp
Monster,rabbit,"Rabbit","Кролик",1,Animal,29,/skill4293.webp
Monster,young_fox,"Young Fox","Молодой Лис",1,Animal,29,/skill4293.webp
Monster,gremlin_scavenger,"Gremlin Scavenger","Гремлин Добытчик",1,Fairy,29,/skill4302.webp
Monster,young_brown_fox,"Young Brown Fox","Молодой Бурый Лис",1,Animal,29,/skill4293.webp
Monster,young_red_fox,"Young Red Fox","Молодой Рыжий Лис",1,Animal,29,/skill4293.webp
Monster,young_crimson_fox,"Young Crimson Fox","Молодой Багровый Лис",1,Animal,29,/skill4293.webp
Monster,elpy,"Elpy","Эльпи",1,Animal,35,/skill4293.webp
Monster,keltir,"Bearded Keltir","Бородатый Шакал",1,Animal,35,/skill4293.webp
Monster,young_brown_keltir,"Young Brown Keltir","Молодой Бурый Шакал",1,Animal,35,/skill4293.webp
Monster,young_red_keltir,"Young Red Keltir","Молодой Рыжий Шакал",1,Animal,35,/skill4293.webp
Monster,young_crimson_keltir,"Young Prairie Keltir","Молодой Степной Шакал",1,Animal,35,/skill4293.webp
Monster,young_keltir,"Young Keltir","Молодой Шакал",1,Animal,35,/skill4293.webp
Monster,headquarter,"Headquarters","Лагерь",1,Others,,/skill4416_etc.webp
Monster,fox,"Fox","Лис",2,Animal,59,/skill4293.webp
Monster,brown_fox,"Brown Fox","Бурый Лис",2,Animal,59,/skill4293.webp
Monster,longtail_fox,"Longtail Fox","Длиннохвостый Лис",2,Animal,59,/skill4293.webp
Monster,red_fox,"Red Fox","Рыжий Лис",2,Animal,59,/skill4293.webp
Monster,crimson_fox,"Prairie Fox","Степной Лис",2,Animal,59,/skill4293.webp
Monster,brown_keltir,"Brown Keltir","Бурый Шакал",2,Animal,71,/skill4293.webp
Monster,longtail_keltir,"Longtail Keltir","Длиннохвостый Шакал",2,Animal,71,/skill4293.webp
Monster,red_keltir,"Red Keltir","Рыжий Шакал",2,Animal,71,/skill4293.webp
