Category,Subtype,ID,Name_EN,Name_RU,Grade,PAtk,MAtk,PDef,MDef,Icon,Description_EN
weapons,dagger,1660,"Cursed Maingauche","Проклятая Дага",D,62,42,,,/weapon_maingauche_i01.webp,"Although its attack power is weak, it gives bleeding effect with a certain rate during critical attacks."
weapons,dagger,224,"Maingauche","Дага",D,69,47,,,/weapon_maingauche_i00.webp,"No description for this item"
weapons,dagger,225,"Mithril Dagger","Мифриловый Кинжал",D,80,54,,,/weapon_mithril_dagger_i00.webp,"No description for this item"
weapons,dagger,226,"Cursed Dagger","Проклятый Кинжал",C,94,61,,,/weapon_cursed_dagger_i00.webp,"Bestows Critical Bleed, Critical Poison or Rsk. Haste."
weapons,dagger,232,"Dark Elven Dagger","Кинжал Темных Эльфов",C,94,61,,,/weapon_darkelven_dagger_i00.webp,"Bestows one of the following functions: Focus or Back Blow."
weapons,dagger,227,"Stiletto","Стилет",C,107,68,,,/weapon_stiletto_i00.webp,"Bestows either Critical Bleed or Critical Poison."
weapons,dagger,231,"Grace Dagger","Изящный Кинжал",C,122,76,,,/weapon_grace_dagger_i00.webp,"Bestows one of the following functions: Evasion, Focus, or Back Blow."
weapons,dagger,233,"Dark Screamer","Кинжал Тьмы",C,122,76,,,/weapon_dark_screamer_i00.webp,"Bestows one of the following functions: Evasion, Focus, or Critical Bleed."
weapons,dagger,228,"Crystal Dagger","Кристальный Кинжал",C,136,83,,,/weapon_crystal_dagger_i00.webp,"Bestows Critical Bleed, Critical Damage or Critical Poison."
weapons,dagger,229,"Kris","Крис",B,153,91,,,/weapon_kris_i00.webp,"Bestows one of the following functions: Evasion, Focus, or Back Blow."
weapons,dagger,234,"Demon Dagger","Кинжал Демона",B,170,99,,,/weapon_demons_sword_i00.webp,"Bestows Critical Bleed, Critical Damage or Critical Poison."
weapons,dagger,235,"Bloody Orchid","Кровавая Орхидея",A,186,107,,,/weapon_bloody_orchid_i00.webp,"Bestows one of the following functions: Focus, Back Blow, or Critical Bleed."
weapons,dagger,236,"Soul Separator","Душегуб",A,203,114,,,/weapon_soul_separator_i00.webp,"Bestows one of the following functions: Guidance, Critical Damage, or Rsk. Haste."
weapons,dagger,8682,"Naga Storm","Буря Наги",A,220,121,,,/weapon_naga_storm_i00.webp,"Bestows Focus, Critical Damage, or Back Blow."
weapons,dagger,6367,"Angel Slayer","Убийца Ангелов",S,246,132,,,/weapon_angel_slayer_i00.webp,"Bestows one of the following functions: Crt. Damage, HP Drain or Haste."
weapons,dagger,9446,"Dynasty Knife","Нож Династии",S80,291,151,,,/weapon_dynasty_dagger_i00.webp,"Bestows one of the following functions: Focus, Evasion, or Critical Damage."
weapons,dagger,10216,"Icarus Disperser","Распылитель Икара",S80,318,163,,,/weapon_icarus_disperser_i00.webp,"Bestows one of the following functions: Focus, Evasion or Crit. Damage."
weapons,dagger,13460,"Vesper Shaper","Острие Венеры",S84,346,176,,,/weapon_vesper_shaper_i00.webp,"It can bestow one of the following functions: Critical Damage, HP Drain, or Haste."
weapons,sword,2369,"Squire's Sword","Меч Оруженосца",NG,6,5,,,/weapon_squires_sword_i00.webp,"No description for this item"
weapons,sword,1,"Short Sword","Короткий Меч",NG,8,6,,,/weapon_small_sword_i00.webp,"No description for this item"
weapons,sword,3,"Broadsword","Широкий Меч",NG,11,9,,,/weapon_broad_sword_i00.webp,"No description for this item"
weapons,sword,738,"Sword of Solidarity","Меч Единства",NG,12,9,,,/weapon_long_sword_i00.webp,"A bronze sword crafted long ago in memory of the union between the Humans and the Elves."
weapons,sword,1510,"Butcher's Sword","Меч Мясника",NG,13,10,,,/weapon_orcish_sword_i00.webp,"A sword granted to young Orc Fighters who distinguished themselves at war."
weapons,sword,743,"Sword of Sentinel","Меч Стража",NG,14,11,,,/weapon_broad_sword_i00.webp,"A steel blade issued to those fighters that have been acknowledged as protectors of the woods."
weapons,sword,975,"Blood Saber","Кровавая Сабля",NG,14,11,,,/weapon_broad_sword_i00.webp,"An Oriharukon sword crafted in the Abella style of the east."
weapons,sword,66,"Gladius","Гладиус",NG,17,12,,,/weapon_gladius_i00.webp,"No description for this item"
weapons,sword,67,"Orcish Sword","Меч Орков",NG,17,12,,,/weapon_orcish_sword_i00.webp,"No description for this item"
weapons,sword,122,"Handmade Sword","Кованый Меч",NG,17,12,,,/weapon_handmade_sword_i00.webp,"No description for this item"
weapons,sword,3029,"Sword of Binding","Меч Оков",NG,17,12,,,/weapon_gladius_i00.webp,"Use this sword to deliver the final blow to Zeruel."
weapons,sword,1142,"Rusted Bronze Sword","Ржавый Меч",NG,18,21,,,/weapon_broad_sword_i00.webp,"An old and rusty bronze sword called the 'Sword of Trial'. Use this to hunt poison spiders and arachnid trackers."
weapons,sword,2,"Long Sword","Длинный Меч",NG,24,17,,,/weapon_long_sword_i00.webp,"No description for this item"
weapons,sword,120,"Sword of Reflection","Меч Отражения",NG,24,17,,,/weapon_sword_of_watershadow_i00.webp,"No description for this item"
weapons,sword,121,"Sword of Watershadow","Меч Темной Воды",NG,24,17,,,/weapon_sword_of_watershadow_i00.webp,"No description for this item"
weapons,sword,68,"Falchion","Фальшион",NG,31,21,,,/weapon_falchion_i00.webp,"No description for this item"
weapons,sword,123,"Saber","Сабля",D,40,26,,,/weapon_saber_i00.webp,"No description for this item"
weapons,sword,69,"Bastard Sword","Полуторный Меч",D,51,32,,,/weapon_bastard_sword_i00.webp,"No description for this item"
weapons,sword,125,"Spinebone Sword","Хребетный Меч",D,51,32,,,/weapon_spinebone_sword_i00.webp,"No description for this item"
weapons,sword,126,"Artisan's Sword","Меч Ремесленника",D,51,32,,,/weapon_artisans_sword_i00.webp,"No description for this item"
weapons,sword,128,"Knight's Sword","Меч Рыцаря",D,51,32,,,/weapon_knights_sword_i00.webp,"No description for this item"
weapons,sword,127,"Crimson Sword","Багровый Меч",D,64,39,,,/weapon_crimson_sword_i00.webp,"No description for this item"
weapons,sword,130,"Elven Sword","Меч Эльфов",D,64,39,,,/weapon_elven_sword_i00.webp,"No description for this item"
weapons,sword,129,"Sword of Revolution","Меч Революции",D,79,47,,,/weapon_sword_of_revolution_i00.webp,"No description for this item"
weapons,sword,2499,"Elven Long Sword","Длинный Меч Эльфов",D,92,54,,,/weapon_elven_long_sword_i00.webp,"No description for this item"
weapons,sword,72,"Stormbringer","Громовержец",C,107,61,,,/weapon_stormbringer_i00.webp,"Bestows one of the following functions: Critical Anger, Focus or Light."
weapons,sword,73,"Shamshir","Шамшир",C,122,68,,,/weapon_shamshir_i00.webp,"Bestows one of the following functions: Guidance, Back Blow, Rsk. Or Evasion."
weapons,sword,74,"Katana","Катана",C,122,68,,,/weapon_katana_i00.webp,"Bestows one of the following functions: Focus, Critical Damage or Haste."
weapons,sword,131,"Spirit Sword","Меч Духов",C,122,68,,,/weapon_spirits_sword_i00.webp,"Bestows either Critical Damage, Critical Poison or Haste"
weapons,sword,133,"Raid Sword","Меч Налетчика",C,122,68,,,/weapon_raid_sword_i00.webp,"Bestows either Focus, Critical Drain or Critical Poison"
weapons,sword,75,"Caliburs","Экскалибур",C,139,76,,,/weapon_caliburs_i00.webp,"Bestows either Guidance, Focus or Critical Damage."
weapons,sword,76,"Sword of Delusion","Меч Иллюзий",C,139,76,,,/weapon_sword_of_delusion_i00.webp,"Bestows one of the following functions: Focus, Health, or Rsk. Haste."
weapons,sword,77,"Tsurugi","Цуруги",C,139,76,,,/weapon_tsurugi_i00.webp,"Bestows one of the following functions: Focus, Critical Damage or Haste."
weapons,sword,132,"Sword of Limit","Меч Рубежа",C,139,76,,,/weapon_sword_of_limit_i00.webp,"Bestows one of the following functions: Guidance, Critical Drain, or Health."
weapons,sword,134,"Sword of Nightmare","Меч Кошмаров",C,139,76,,,/weapon_sword_of_nightmare_i00.webp,"Bestows one of the following functions: Health, Focus, or Light."
weapons,sword,135,"Samurai Longsword","Длинный Меч Самурая",C,156,83,,,/weapon_samurai_longsword_i00.webp,"Bestows one of the following functions: Focus, Critical Damage or Haste."
weapons,sword,142,"Keshanberk","Кешанберк",B,175,91,,,/weapon_kshanberk_i00.webp,"Bestows one of the following functions: Guidance, Focus or Back Blow"
weapons,sword,79,"Sword of Damascus","Дамаскус",B,194,99,,,/weapon_sword_of_damascus_i00.webp,"Bestows one of the following functions: Focus, Critical Damage or Haste."
weapons,sword,80,"Tallum Blade","Клинок Таллума",A,213,107,,,/weapon_tallum_blade_i00.webp,"Bestows one of the following functions: Critical Poison, Haste or Anger."
weapons,sword,2500,"Dark Legion's Edge","Темный Легион",A,232,114,,,/weapon_dark_legions_edge_i00.webp,"Bestows one of the following functions: Critical Damage, Health, or Rsk. Focus."
weapons,sword,8678,"Sirra's Blade","Клинок Сирры",A,251,121,,,/weapon_sirr_blade_i00.webp,"Bestows Haste, Health, or Critical Poison."
weapons,sword,6364,"Forgotten Blade","Забытый Клинок",S,281,132,,,/weapon_forgotten_blade_i00.webp,"Bestows one of the following functions: Haste, Health or Focus."
weapons,sword,9442,"Dynasty Sword","Меч Династии",S80,333,151,,,/weapon_dynasty_blade_i00.webp,"Bestows one of the following functions: Focus, Health, or Light."
weapons,sword,10215,"Icarus Sawsword","Зазубренный Меч Икара",S80,363,163,,,/weapon_icarus_sowsword_i00.webp,"Bestows one of the following functions: Focus, Health or Light."
weapons,sword,13457,"Vesper Cutter","Резак Венеры",S84,396,176,,,/weapon_vesper_cutter_i00.webp,"It can bestow one of the following functions: Haste, Focus, or Health."
weapons,two_hand_sword,981,"Red Sunset Sword","Меч Багрового Заката",NG,16,10,,,/weapon_brandish_i00.webp,"A sword used by warriors belonging to the Red Sunset clan."
weapons,two_hand_sword,1333,"Brandish","Тренировочный Двуручный Меч",NG,21,12,,,/weapon_brandish_i00.webp,"A two-handed sword for beginners."
weapons,two_hand_sword,3027,"Old Knight's Sword","Меч Старого Рыцаря",NG,29,17,,,/weapon_brandish_i00.webp,"Use this sword to deliver the final blow to the spirit of Sir Herod."
weapons,two_hand_sword,5284,"Zweihander","Цвайхандэр",NG,38,21,,,/weapon_zweihander_i00.webp,"No description for this item"
weapons,two_hand_sword,5285,"Heavy Sword","Тяжелый Меч",D,49,26,,,/weapon_heavy_sword_i00.webp,"No description for this item"
weapons,two_hand_sword,7880,"Steel Sword","Стальной Меч",D,49,26,,,/weapon_iron_sword_i00.webp,"No description for this item"
weapons,two_hand_sword,124,"Two-Handed Sword","Двуручный Меч",D,78,39,,,/weapon_two_handed_sword_i00.webp,"No description for this item"
weapons,two_hand_sword,7881,"Titan Sword","Меч Титана",D,96,47,,,/weapon_giants_sword_i00.webp,"No description for this item"
weapons,two_hand_sword,70,"Claymore","Клеймор",D,112,54,,,/weapon_claymore_i00.webp,"No description for this item"
weapons,two_hand_sword,71,"Flamberge","Фламберг",C,130,61,,,/weapon_flamberge_i00.webp,"Bestows one of the following functions: Critical Damage, Focus or Light."
weapons,two_hand_sword,7882,"Pa'agrian Sword","Меч Паагрио",C,169,76,,,/weapon_sword_of_paagrio_i00.webp,"Bestows one of the following functions: Focus, Health or Critical Drain."
weapons,two_hand_sword,5286,"Berserker Blade","Клинок Берсерка",C,190,83,,,/weapon_berserker_blade_i00.webp,"Bestows one of the following functions: Focus Critical Damage, Focus or Haste."
weapons,two_hand_sword,78,"Great Sword","Большой Меч",B,213,91,,,/weapon_great_sword_i00.webp,"Bestows one of the following functions: Health, Critical Damage or Focus."
weapons,two_hand_sword,7883,"Guardian Sword","Меч Стража",B,236,99,,,/weapon_guardians_sword_i00.webp,"Bestows one of the following functions: Critical Drain, Health or Critical Bleed."
weapons,two_hand_sword,7884,"Infernal Master","Мастер Инферно",A,259,107,,,/weapon_inferno_master_i00.webp,"Bestows either Haste, Critical Damage, or Focus."
weapons,two_hand_sword,81,"Dragon Slayer","Убийца Драконов",A,282,114,,,/weapon_dragon_slayer_i00.webp,"Bestows one of the following functions: Health, Critical Bleed or Critical Drain."
weapons,two_hand_sword,8679,"Sword of Ipos","Меч Ипоса",A,305,121,,,/weapon_sword_of_ipos_i00.webp,"Bestows Focus, Haste, or Health."
weapons,two_hand_sword,6372,"Heaven's Divider","Разделитель Небес",S,342,132,,,/weapon_heavens_divider_i00.webp,"Bestows one of the following functions: Haste, Health or Focus."
weapons,two_hand_sword,9443,"Dynasty Blade","Клинок Династии",S80,405,151,,,/weapon_dynasty_twohand_sword_i00.webp,"Bestows one of the following functions: Focus, Health, or Light."
weapons,two_hand_sword,10218,"Icarus Heavy Arms","Тяжелые Руки Икара",S80,442,163,,,/weapon_icarus_heavy_arms_i00.webp,"Bestows one of the following functions: Focus, Health or Light."
weapons,two_hand_sword,13458,"Vesper Slasher","Эспадон Венеры",S84,482,176,,,/weapon_vesper_slasher_i00.webp,"It can bestow one of the following functions: Haste, Focus, or Health."
weapons,bow,13,"Short Bow","Короткий Лук",NG,16,6,,,/weapon_short_bow_i00.webp,"No description for this item"
weapons,bow,14,"Bow","Лук",NG,23,9,,,/weapon_bow_i00.webp,"No description for this item"
weapons,bow,271,"Hunting Bow","Охотничий Лук",NG,34,12,,,/weapon_hunting_bow_i00.webp,"No description for this item"
weapons,bow,3028,"Crescent Moon Bow","Лук Полумесяца",NG,34,12,,,/weapon_short_bow_i00.webp,"Use this bow to deliver the final blow to Commander Kadesh."
weapons,bow,1181,"Neti's Bow","Лук Нети",NG,45,16,,,/weapon_bow_i00.webp,"A favorite bow used by Neti, who was once a Treasure Hunter. Use it when hunting the skeletons and spartoi of the Ruins of Agony to gather bone pieces."
weapons,bow,272,"Forest Bow","Лесной Лук",NG,49,17,,,/weapon_short_bow_i00.webp,"No description for this item"
weapons,bow,273,"Composition Bow","Композитный Лук",NG,64,21,,,/weapon_composition_bow_i00.webp,"No description for this item"
weapons,bow,274,"Strengthened Bow","Усиленный Лук",D,82,26,,,/weapon_strengthening_bow_i00.webp,"No description for this item"
weapons,bow,276,"Elven Bow","Эльфийский Лук",D,105,32,,,/weapon_elven_bow_i00.webp,"No description for this item"
weapons,bow,277,"Dark Elven Bow","Лук Темных Эльфов",D,105,32,,,/weapon_dark_elven_bow_i00.webp,"No description for this item"
weapons,bow,275,"Long Bow","Длинный Лук",D,114,35,,,/weapon_long_bow_i00.webp,"No description for this item"
weapons,bow,278,"Gastraphetes","Гастрафет",D,132,39,,,/weapon_gastraphetes_i00.webp,"No description for this item"
weapons,bow,279,"Strengthened Long Bow","Усиленный Длинный Лук",D,179,51,,,/weapon_strengthening_long_bow_i00.webp,"No description for this item"
weapons,bow,280,"Light Crossbow","Легкий Лук",D,191,54,,,/weapon_cyclone_bow_i00.webp,"No description for this item"
weapons,bow,281,"Crystallized Ice Bow","Ледяной Лук",C,220,61,,,/weapon_crystallized_ice_bow_i00.webp,"Bestows one of the following functions: Guidance, Evasion, or Quick Recovery."
weapons,bow,285,"Noble Elven Bow","Элитный Эльфийский Лук",C,252,68,,,/weapon_noble_elven_bow_i00.webp,"Bestows either Evasion, Miser or Cheap Shot."
weapons,bow,282,"Elemental Bow","Лук Стихии",C,277,75,,,/weapon_elemental_bow_i00.webp,"Bestows either Guidance, Miser or Quick Recovery."
weapons,bow,283,"Akat Long Bow","Длинный Лук Аката",C,316,84,,,/weapon_akat_long_bow_i00.webp,"Bestows either Guidance, Evasion or Miser."
weapons,bow,286,"Eminence Bow","Лук Превосходства",C,323,83,,,/weapon_eminence_bow_i00.webp,"Bestows either Guidance, Miser or Cheap Shot."
weapons,bow,284,"Dark Elven Long Bow","Длинный Лук Темных Эльфов",B,397,100,,,/weapon_dark_elven_long_bow_i00.webp,"Bestows either Evasion, Critical Bleed or Miser."
weapons,bow,287,"Bow of Peril","Лук Угрозы",B,400,99,,,/weapon_hazard_bow_i00.webp,"Bestows either Guidance, Quick Recovery or Cheap Shot."
weapons,bow,288,"Carnage Bow","Кровавый Лук",A,440,107,,,/weapon_carnium_bow_i00.webp,"Bestows either Light, Critical Bleed, or Mana Up."
weapons,bow,289,"Soul Bow","Пронзатель Душ",A,528,125,,,/weapon_soul_bow_i00.webp,"Bestows one of the following functions: Cheap Shot, Quick Recovery, or Critical Poison."
weapons,bow,8684,"Shyeed's Bow","Лук Шиид",A,570,133,,,/weapon_shyid_bow_i00.webp,"Bestows Cheap Shot, Focus, or Quick Recovery."
weapons,bow,7575,"Draconic Bow","Лук Дракона",S,581,132,,,/weapon_draconic_bow_i00.webp,"It can bestow one of the following functions: Cheap Shot, Focus, or Critical Slow."
weapons,bow,9445,"Dynasty Bow","Лук Династии",S80,654,151,,,/weapon_dynasty_bow_i00.webp,"Bestows one of the following functions: Cheap Shot, Guidance, or Focus."
weapons,bow,10223,"Icarus Spitter","Лук Икара",S80,689,163,,,/weapon_icarus_spiter_i00.webp,"Bestows one of the following functions: Cheap Shot, Guidance or Focus."
weapons,bow,13467,"Vesper Thrower","Бросок Венеры",S84,724,176,,,/weapon_vesper_thrower_i00.webp,"It can bestow one of the following functions: Cheap Shot, Critical Slow, or Focus."
weapons,blunt,2370,"Guild Member's Club","Дубина Гильдии",NG,6,5,,,/weapon_club_i00.webp,"No description for this item"
weapons,blunt,4,"Club","Дубина",NG,8,6,,,/weapon_club_i00.webp,"No description for this item"
weapons,blunt,152,"Heavy Chisel","Тяжелое Зубило",NG,10,8,,,/weapon_heavy_chisel_i00.webp,"No description for this item"
weapons,blunt,5,"Mace","Булава",NG,11,9,,,/weapon_mace_i00.webp,"No description for this item"
weapons,blunt,153,"Sickle","Серп",NG,12,9,,,/weapon_sickle_i00.webp,"No description for this item"
weapons,blunt,1511,"Silversmith Hammer","Молот Кузнеца",NG,13,10,,,/weapon_iron_hammer_i00.webp,"A hammer silversmiths of the ancient Elmoreden used."
weapons,blunt,154,"Dwarven Mace","Булава Гномов",NG,17,12,,,/weapon_dwarven_mace_i00.webp,"No description for this item"
weapons,blunt,2501,"Bone Club","Костяная Дубина",NG,24,17,,,/weapon_club_i00.webp,"No description for this item"
weapons,blunt,87,"Iron Hammer","Железный Молот",NG,31,21,,,/weapon_iron_hammer_i00.webp,"No description for this item"
weapons,blunt,155,"Buzdygan","Палица",NG,31,21,,,/weapon_buzdygan_i00.webp,"No description for this item"
weapons,blunt,156,"Hand Axe","Тесак",D,40,26,,,/weapon_hand_axe_i00.webp,"No description for this item"
weapons,blunt,166,"Heavy Mace","Тяжелая Булава",D,40,26,,,/weapon_heavy_mace_i00.webp,"No description for this item"
weapons,blunt,167,"Scalpel","Кирка",D,40,26,,,/weapon_scalpel_i00.webp,"No description for this item"
weapons,blunt,168,"Work Hammer","Кузнечный Молот",D,40,26,,,/weapon_work_hammer_i00.webp,"No description for this item"
weapons,blunt,86,"Tomahawk","Томагавк",D,51,32,,,/weapon_tomahawk_i00.webp,"No description for this item"
weapons,blunt,157,"Spiked Club","Шипованная Дубина",D,64,39,,,/weapon_spike_club_i00.webp,"No description for this item"
weapons,blunt,88,"Morning Star","Моргенштерн",D,79,47,,,/weapon_morning_star_i00.webp,"No description for this item"
weapons,blunt,158,"Tarbar","Тарбар",D,79,47,,,/weapon_tarbar_i00.webp,"No description for this item"
weapons,blunt,169,"Skull Breaker","Череполом",D,79,47,,,/weapon_skull_breaker_i00.webp,"No description for this item"
weapons,blunt,172,"Heavy Bone Club","Тяжелая Костяная Дубина",D,79,47,,,/weapon_heavy_bone_club_i00.webp,"No description for this item"
weapons,blunt,159,"Bonebreaker","Костолом",D,92,54,,,/weapon_bonebreaker_i00.webp,"No description for this item"
weapons,blunt,89,"Big Hammer","Большой Молот",C,107,61,,,/weapon_big_hammer_i00.webp,"Bestows either Health, Rsk. Focus or Haste."
weapons,blunt,160,"Battle Axe","Боевой Топор",C,107,61,,,/weapon_battle_axe_i00.webp,"Bestows either Anger, Rsk. Focus or Haste."
weapons,blunt,161,"Silver Axe","Серебряный Топор",C,107,61,,,/weapon_war_pick_i00.webp,"Bestows either Anger, Rsk. Focus or Haste."
weapons,blunt,173,"Skull Graver","Череподав",C,107,61,,,/weapon_skull_graver_i00.webp,"Bestows one of the following functions: Anger, Health, or Rsk. Focus."
weapons,blunt,2502,"Dwarven War Hammer","Боевой Молот Гномов",C,122,68,,,/weapon_dwarven_warhammer_i00.webp,"Bestows either Anger, Health or Haste."
weapons,blunt,162,"War Axe","Топор Войны",C,139,76,,,/weapon_war_axe_i00.webp,"Bestows either Anger, Health or Haste."
weapons,blunt,2503,"Yaksa Mace","Булава Якса",C,156,83,,,/weapon_yaksa_mace_i00.webp,"Bestows one of the following functions: Anger, Health, or Rsk. Focus."
weapons,blunt,91,"Heavy War Axe","Тяжелый Топор Войны",B,175,91,,,/weapon_heavy_war_axe_i00.webp,"Bestows either Anger, Health, or Rsk. Focus."
weapons,blunt,175,"Art of Battle Axe","Топор Искусства Войны",B,194,99,,,/weapon_art_of_battle_axe_i00.webp,"Bestows either Health, Rsk. Focus or Haste."
weapons,blunt,2504,"Meteor Shower","Метеоритный Дождь",A,213,107,,,/weapon_meteor_shower_i00.webp,"Bestows one of the following functions: Focus, Critical Bleed, or Rsk. Haste."
weapons,blunt,164,"Elysian","Элизиум",A,232,114,,,/weapon_elysian_i00.webp,"Bestows one of the following functions: Health, Anger, or a Critical Drain."
weapons,blunt,8680,"Barakiel's Axe","Топор Баракиэля",A,251,121,,,/weapon_barakiel_axe_i00.webp,"Bestows Health, Haste, or Focus."
weapons,blunt,6365,"Basalt Battlehammer","Базальтовый Боевой Молот",S,281,132,,,/weapon_basalt_battlehammer_i00.webp,"Bestows one of the following functions: HP Drain, Health or HP Regeneration."
weapons,blunt,9448,"Dynasty Cudgel","Дубина Династии",S80,333,151,,,/weapon_dynasty_hammer_i00.webp,"Bestows one of the following functions: Anger, Health, or Rsk. Focus."
weapons,blunt,10220,"Icarus Hammer","Молот Икара",S80,363,163,,,/weapon_icarus_hammer_i00.webp,"Bestows one of the following functions: Anger, Health or Rsk. Focus."
weapons,blunt,13463,"Vesper Avenger","Мститель Венеры",S84,396,176,,,/weapon_vesper_avenger_i00.webp,"It can bestow one of the following functions: HP Regeneration, HP Drain, or Health."
weapons,two_hand_blunt,7896,"Titan Hammer","Молот Титанов",D,96,47,,,/weapon_giants_hammer_i00.webp,"No description for this item"
weapons,two_hand_blunt,7898,"Karik Horn","Рог Карика",C,169,76,,,/weapon_horn_of_karik_i00.webp,"Bestows either Focus, Haste, or Critical Drain."
weapons,two_hand_blunt,7897,"Dwarven Hammer","Молот Гномов",C,190,83,,,/weapon_dwarven_hammer_i00.webp,"Bestows either Health, Anger, or Critical Bleed."
weapons,two_hand_blunt,7900,"Ice Storm Hammer","Молот Ледяной Бури",B,213,91,,,/weapon_ice_storm_hammer_i00.webp,"Bestows either Focus, Anger, or Critical Bleed."
weapons,two_hand_blunt,7901,"Star Buster","Звезда Боли",B,236,99,,,/weapon_star_buster_i00.webp,"Bestows either Health, Haste, or Rsk. Focus."
weapons,two_hand_blunt,7899,"Destroyer Hammer","Молот Разрушителя",A,259,107,,,/weapon_hammer_of_destroyer_i00.webp,"Bestows either Health, Haste, or Critical Drain."
weapons,two_hand_blunt,7902,"Doom Crusher","Крушитель Рока",A,282,114,,,/weapon_doom_crusher_i00.webp,"Bestows one of the following functions: Health, Anger or Rsk. Haste."
weapons,two_hand_blunt,8681,"Behemoth's Tuning Fork","Трезубец Чудовища",A,305,121,,,/weapon_tuning_fork_of_behemoth_i00.webp,"Bestows Focus, Health, or Anger."
weapons,two_hand_blunt,6369,"Dragon Hunter Axe","Топор Охотника на Драконов",S,342,132,,,/weapon_dragon_hunter_axe_i00.webp,"Bestows one of the following functions: HP Regeneration, Health or HP Drain."
weapons,two_hand_blunt,10253,"Dynasty Crusher","Крушитель Династии",S80,405,151,,,/weapon_dynasty_crusher_i00.webp,"Bestows one of the following functions: Anger, Health or Rsk. Focus."
weapons,two_hand_blunt,13464,"Vesper Retributer","Возмездие Венеры",S84,482,176,,,/weapon_vesper_retributer_i00.webp,"It can bestow one of the following functions: HP Regeneration, HP Drain, or Health."
weapons,spear,15,"Short Spear","Короткое Копье",NG,24,17,,,/weapon_short_spear_i00.webp,"No description for this item"
weapons,spear,3026,"Talins Spear","Копье Талина",NG,24,17,,,/weapon_short_spear_i00.webp,"Use this spear to deliver the final blow to Eva's unicorn."
weapons,spear,16,"Long Spear","Копье",NG,31,21,,,/weapon_long_spear_i00.webp,"No description for this item"
weapons,spear,291,"Trident","Трезубец",D,40,26,,,/weapon_trident_i00.webp,"No description for this item"
weapons,spear,292,"Pike","Гизарма",D,51,32,,,/weapon_pike_i00.webp,"No description for this item"
weapons,spear,295,"Dwarven Trident","Трезубец Гномов",D,51,32,,,/weapon_dwarven_trident_i00.webp,"No description for this item"
weapons,spear,293,"War Hammer","Молот Войны",D,64,39,,,/weapon_war_hammer_i00.webp,"No description for this item"
weapons,spear,296,"Dwarven Pike","Гизарма Гномов",D,64,39,,,/weapon_dwarven_pike_i00.webp,"No description for this item"
weapons,spear,93,"Winged Spear","Крылатое Копье",D,79,47,,,/weapon_winged_spear_i00.webp,"No description for this item"
weapons,spear,294,"War Pick","Молот Смерти",D,79,47,,,/weapon_hammer_in_flames_i00.webp,"No description for this item"
weapons,spear,297,"Glaive","Глефа",D,92,54,,,/weapon_glaive_i00.webp,"No description for this item"
weapons,spear,96,"Scythe","Боевая Коса",C,107,61,,,/weapon_scythe_i00.webp,"Bestows either Anger, Critical Stun or Light."
weapons,spear,298,"Orcish Glaive","Глефа Орков",C,107,61,,,/weapon_orcish_glaive_i00.webp,"Bestows either Anger, Critical Stun or Towering Blow."
