ID,Name_EN,Name_RU,Grade,Craft_Level,Type,Icon
1885,"High Grade Suede","Качественная Замша",D,2,resource,/etc_pouch_yellow_i00.webp
1886,"Silver Mold","Серебряная Заготовка",D,2,resource,/etc_silver_mold_i00.webp
2510,"Spiritshot: D-grade","Заряд Духа: Ранг D",D,2,soulshot,/etc_spell_shot_blue_i00.webp
3948,"Blessed Spiritshot: D-Grade","Благословенный Заряд Духа: Ранг D",D,2,soulshot,/etc_spell_shot_blue_i01.webp
1887,"Varnish of Purity","Очищенный Лак",C,2,resource,/etc_potion_clear_i00.webp
1888,"Synthetic Cokes","Синтетический Кокс",C,2,resource,/etc_synthetic_cokes_i00.webp
1889,"Compound Braid","Прочный Шнурок",C,2,resource,/etc_compound_braid_i00.webp
1342,"Fine Steel Arrow","Железная Стрела",C,3,etcitem,/etc_fine_steel_quiver_i00.webp
1464,"Soulshot: C-grade","Заряд Души: Ранг C",C,4,soulshot,/etc_spirit_bullet_green_i00.webp
1890,"Mithril Alloy","Мифриловый Сплав",C,4,resource,/etc_lump_white_i00.webp
1891,"Artisan's Frame","Заготовка Ремесленника",C,4,resource,/etc_artisans_frame_i00.webp
1892,"Blacksmith's Frame","Заготовка Кузнеца",C,4,resource,/etc_blacksmiths_frame_i00.webp
1893,"Oriharukon","Орихарукон",C,4,resource,/etc_oriharukon_i00.webp
1894,"Crafted Leather","Выделанная Кожа",C,4,resource,/etc_crafted_leather_i00.webp
1895,"Metallic Fiber","Металлическое Волокно",C,4,resource,/etc_metallic_fiber_i00.webp
2511,"Spiritshot: C-grade","Заряд Духа: Ранг C",C,4,soulshot,/etc_spell_shot_green_i00.webp
1343,"Silver Arrow","Серебряная Стрела",B,4,etcitem,/etc_silver_quiver_i00.webp
1465,"Soulshot: B-grade","Заряд Души: Ранг B",B,6,soulshot,/etc_spirit_bullet_red_i00.webp
2512,"Spiritshot: B-grade","Заряд Духа: Ранг B",B,6,soulshot,/etc_spell_shot_red_i00.webp
1344,"Mithril Arrow","Мифриловая Стрела",A,4,etcitem,/etc_mithril_quiver_i00.webp
1466,"Soulshot: A-grade","Заряд Души: Ранг A",A,7,soulshot,/etc_spirit_bullet_silver_i00.webp
2513,"Spiritshot: A-grade","Заряд Духа: Ранг A",A,7,soulshot,/etc_spell_shot_silver_i00.webp
1345,"Shining Arrow","Сверкающая Стрела",S,5,etcitem,/etc_shining_quiver_i00.webp
1467,"Soulshot: S-grade","Заряд Души: Ранг S",S,8,soulshot,/etc_spirit_bullet_gold_i00.webp
2514,"Spiritshot: S-grade","Заряд Духа: Ранг S",S,8,soulshot,/etc_spell_shot_gold_i00.webp
4469,"Dye of STR <Str+1 Con-1>","Краска СИЛ <СИЛ+1 ВЫН-1>",,4,etcitem,/etc_str_hena_i00.webp
4470,"Dye of STR <Str+1 Dex-1>","Краска СИЛ <СИЛ+1 ЛВК-1>",,4,etcitem,/etc_str_hena_i00.webp
4471,"Dye of CON <Con+1 Str-1>","Краска ВЫН <ВЫН+1 СИЛ-1>",,4,etcitem,/etc_con_hena_i00.webp
4472,"Dye of CON <Con+1 Dex-1>","Краска ВЫН <ВЫН+1 ЛВК-1>",,4,etcitem,/etc_con_hena_i00.webp
4473,"Dye of DEX <Dex+1 Str-1>","Краска ЛВК <ЛВК+1 СИЛ-1>",,4,etcitem,/etc_dex_hena_i00.webp
4474,"Dye of DEX <Dex+1 Con-1>","Краска ЛВК <ЛВК+1 ВЫН-1>",,4,etcitem,/etc_dex_hena_i00.webp
4475,"Dye of INT <Int+1 Men-1>","Краска ИНТ <ИНТ+1 ДУХ-1>",,4,etcitem,/etc_int_hena_i00.webp
4476,"Dye of INT <Int+1 Wit-1>","Краска ИНТ <ИНТ+1 МДР-1>",,4,etcitem,/etc_int_hena_i00.webp
4477,"Dye of MEN <Men+1 Int-1>","Краска ДУХ <ДУХ+1 ИНТ-1>",,4,etcitem,/etc_men_hena_i00.webp
4478,"Dye of MEN <Men+1 Wit-1>","Краска ДУХ <ДУХ+1 МДР-1>",,4,etcitem,/etc_men_hena_i00.webp
4479,"Dye of WIT <Wit+1 Int-1>","Краска МДР <МДР+1 ИНТ-1>",,4,etcitem,/etc_wit_hena_i00.webp
4480,"Dye of WIT <Wit+1 Men-1>","Краска МДР <МДР+1 ДУХ-1>",,4,etcitem,/etc_wit_hena_i00.webp
4553,"Greater Dye of STR <Str+1 Con-1>","Новая Краска СИЛ <СИЛ+1 ВЫН-1>",,4,etcitem,/etc_str_hena_i02.webp
4554,"Greater Dye of STR <Str+1 Dex-1>","Новая Краска СИЛ <СИЛ+1 ЛВК-1>",,4,etcitem,/etc_str_hena_i02.webp
4555,"Greater Dye of CON <Con+1 Str-1>","Новая Краска ВЫН <ВЫН+1 СИЛ-1>",,4,etcitem,/etc_con_hena_i02.webp
4556,"Greater Dye of CON <Con+1 Dex-1>","Новая Краска ВЫН <ВЫН+1 ЛВК-1>",,4,etcitem,/etc_con_hena_i02.webp
4557,"Greater Dye of DEX <Dex+1 Str-1>","Новая Краска ЛВК <ЛВК+1 СИЛ-1>",,4,etcitem,/etc_dex_hena_i02.webp
4558,"Greater Dye of DEX <Dex+1 Con-1>","Новая Краска ЛВК <ЛВК+1 ВЫН-1>",,4,etcitem,/etc_dex_hena_i02.webp
4559,"Greater Dye of INT <Int+1 Men-1>","Новая Краска ИНТ <ИНТ+1 ДУХ-1>",,4,etcitem,/etc_int_hena_i02.webp
4560,"Greater Dye of INT <Int+1 Wit-1>","Новая Краска ИНТ <ИНТ+1 МДР-1>",,4,etcitem,/etc_int_hena_i02.webp
4561,"Greater Dye of MEN <Men+1 Int-1>","Новая Краска ДУХ <ДУХ+1 ИНТ-1>",,4,etcitem,/etc_men_hena_i02.webp
4562,"Greater Dye of MEN <Men+1 Wit-1>","Новая Краска ДУХ <ДУХ+1 МДР-1>",,4,etcitem,/etc_men_hena_i02.webp
4563,"Greater Dye of WIT <Wit+1 Int-1>","Новая Краска МДР <МДР+1 ИНТ-1>",,4,etcitem,/etc_wit_hena_i02.webp
4564,"Greater Dye of WIT <Wit+1 Men-1>","Новая Краска МДР <МДР+1 ДУХ-1>",,4,etcitem,/etc_wit_hena_i02.webp
4589,"Greater Dye of STR <Str+2 Con-2>","Новая Краска СИЛ <СИЛ+2 ВЫН-2>",,5,etcitem,/etc_str_hena_i02.webp
4590,"Greater Dye of STR <Str+2 Dex-2>","Новая Краска СИЛ <СИЛ+2 ЛВК-2>",,5,etcitem,/etc_str_hena_i02.webp
4591,"Greater Dye of CON <Con+2 Str-2>","Новая Краска ВЫН <ВЫН+2 СИЛ-2>",,5,etcitem,/etc_con_hena_i02.webp
4592,"Greater Dye of CON <Con+2 Dex-2>","Новая Краска ВЫН <ВЫН+2 ЛВК-2>",,5,etcitem,/etc_con_hena_i02.webp
4593,"Greater Dye of DEX <Dex+2 Str-2>","Новая Краска ЛВК <ЛВК+2 СИЛ-2>",,5,etcitem,/etc_dex_hena_i02.webp
4594,"Greater Dye of DEX <Dex+2 Con-2>","Новая Краска ЛВК <ЛВК+2 ВЫН-2>",,5,etcitem,/etc_dex_hena_i02.webp
4595,"Greater Dye of INT <Int+2 Men-2>","Новая Краска ИНТ <ИНТ+2 ДУХ-2>",,5,etcitem,/etc_int_hena_i02.webp
4596,"Greater Dye of INT <Int+2 Wit-2>","Новая Краска ИНТ <ИНТ+2 МДР-2>",,5,etcitem,/etc_int_hena_i02.webp
4597,"Greater Dye of MEN <Men+2 Int-2>","Новая Краска ДУХ <ДУХ+2 ИНТ-2>",,5,etcitem,/etc_men_hena_i02.webp
4598,"Greater Dye of MEN <Men+2 Wit-2>","Новая Краска ДУХ <ДУХ+2 МДР-2>",,5,etcitem,/etc_men_hena_i02.webp
4599,"Greater Dye of WIT <Wit+2 Int-2>","Новая Краска МДР <МДР+2 ИНТ-2>",,5,etcitem,/etc_wit_hena_i02.webp
4600,"Greater Dye of WIT <Wit+2 Men-2>","Новая Краска МДР <МДР+2 ДУХ-2>",,5,etcitem,/etc_wit_hena_i02.webp
4601,"Greater Dye of STR <Str+3 Con-3>","Новая Краска СИЛ <СИЛ+3 ВЫН-3>",,5,etcitem,/etc_str_hena_i02.webp
4602,"Greater Dye of STR <Str+3 Dex-3>","Новая Краска СИЛ <СИЛ+3 ЛВК-3>",,5,etcitem,/etc_str_hena_i02.webp
4603,"Greater Dye of CON <Con+3 Str-3>","Новая Краска ВЫН <ВЫН+3 СИЛ-3>",,5,etcitem,/etc_con_hena_i02.webp
4604,"Greater Dye of CON <Con+3 Dex-3>","Новая Краска ВЫН <ВЫН+3 ЛВК-3>",,5,etcitem,/etc_con_hena_i02.webp
4605,"Greater Dye of DEX <Dex+3 Str-3>","Новая Краска ЛВК <ЛВК+3 СИЛ-3>",,5,etcitem,/etc_dex_hena_i02.webp
4606,"Greater Dye of DEX <Dex+3 Con-3>","Новая Краска ЛВК <ЛВК+3 ВЫН-3>",,5,etcitem,/etc_dex_hena_i02.webp
3949,"Blessed Spiritshot: C-Grade","Благословенный Заряд Духа: Ранг C",C,4,soulshot,/etc_spell_shot_green_i01.webp
3950,"Blessed Spiritshot: B-Grade","Благословенный Заряд Духа: Ранг B",B,6,soulshot,/etc_spell_shot_red_i01.webp
4045,"Maestro Holder","Тиски Мастера",B,6,resource,/etc_lump_yellow_i00.webp
4046,"Maestro Anvil Lock","Замок Мастера",B,6,resource,/etc_lump_dark_gray_i00.webp
4047,"Craftsman Mold","Заготовка Работника",B,6,resource,/etc_mold_i00.webp
4048,"Maestro Mold","Заготовка Мастера",B,6,resource,/etc_silver_mold_i00.webp
3951,"Blessed Spiritshot: A-Grade","Благословенный Заряд Духа: Ранг A",A,7,soulshot,/etc_spell_shot_silver_i01.webp
3952,"Blessed Spiritshot: S-Grade","Благословенный Заряд Духа: Ранг S",S,8,soulshot,/etc_spell_shot_gold_i01.webp
5135,"Compressed Package of Soulshots: D-grade","Пакет Зарядов Души: D-Ранг",,2,etcitem,/etc_pouch_yellow_i00.webp
5141,"Compressed Package of Spiritshots: D-grade","Пакет Зарядов Духа: D-Ранг",,2,etcitem,/etc_pouch_yellow_i00.webp
5147,"Compressed Package of Blessed Spiritshots: D-grade","Пакет Благословенных Зарядов Духа: D-Ранг",,2,etcitem,/etc_pouch_yellow_i00.webp
5234,"Mystery Potion","Мистическое Зелье",,2,etcitem,/etc_lesser_potion_clear_i00.webp
5251,"Greater Compressed Package of Soulshots: D-grade","Упаковка Зарядов Души: D-Ранг",,2,etcitem,/etc_pouch_gray_i00.webp
5235,"Facelifting Potion - A","Зелье Изменения Внешности - A",,3,etcitem,/etc_lesser_potion_purple_i00.webp
5236,"Facelifting Potion - B","Зелье Изменения Внешности - B",,3,etcitem,/etc_lesser_potion_purple_i00.webp
5237,"Facelifting Potion - C","Зелье Изменения Внешности - C",,3,etcitem,/etc_lesser_potion_purple_i00.webp
5238,"Dye Potion - A","Краска - A",,3,etcitem,/etc_lesser_potion_scarlet_i00.webp
5239,"Dye Potion - B","Краска - B",,3,etcitem,/etc_lesser_potion_scarlet_i00.webp
5240,"Dye Potion - C","Краска - C",,3,etcitem,/etc_lesser_potion_scarlet_i00.webp
5241,"Dye Potion - D","Краска - D",,3,etcitem,/etc_lesser_potion_scarlet_i00.webp
5242,"Hair Style Change Potion - A","Зелье Изменения Прически - A",,3,etcitem,/etc_lesser_potion_green_i00.webp
5243,"Hair Style Change Potion - B","Зелье Изменения Прически - B",,3,etcitem,/etc_lesser_potion_green_i00.webp
5244,"Hair Style Change Potion - C","Зелье Изменения Прически - C",,3,etcitem,/etc_lesser_potion_green_i00.webp
5245,"Hair Style Change Potion - D","Зелье Изменения Прически - D",,3,etcitem,/etc_lesser_potion_green_i00.webp
5246,"Hair Style Change Potion - E","Зелье Изменения Прически - E",,3,etcitem,/etc_lesser_potion_green_i00.webp
5247,"Hair Style Change Potion - F","Зелье Изменения Прически - F",,3,etcitem,/etc_lesser_potion_green_i00.webp
5248,"Hair Style Change Potion - G","Зелье Изменения Прически - G",,3,etcitem,/etc_lesser_potion_green_i00.webp
5136,"Compressed Package of Soulshots: C-grade","Пакет Зарядов Души: C-Ранг",,4,etcitem,/etc_pouch_yellow_i00.webp
5142,"Compressed Package of Spiritshots: C-grade","Пакет Зарядов Духа: C-Ранг",,4,etcitem,/etc_pouch_yellow_i00.webp
5148,"Compressed Package of Blessed Spiritshots: C-grade","Пакет Благословенных Зарядов Духа: C-Ранг",,4,etcitem,/etc_pouch_yellow_i00.webp
4607,"Greater Dye of INT <Int+3 Men-3>","Новая Краска ИНТ <ИНТ+3 ДУХ-3>",,5,etcitem,/etc_int_hena_i02.webp
4608,"Greater Dye of INT <Int+3 Wit-3>","Новая Краска ИНТ <ИНТ+3 МДР-3>",,5,etcitem,/etc_int_hena_i02.webp
4609,"Greater Dye of MEN <Men+3 Int-3>","Новая Краска ДУХ <ДУХ+3 ИНТ-3>",,5,etcitem,/etc_men_hena_i02.webp
4610,"Greater Dye of MEN <Men+3 Wit-3>","Новая Краска ДУХ <ДУХ+3 МДР-3>",,5,etcitem,/etc_men_hena_i02.webp
4611,"Greater Dye of WIT <Wit+3 Int-3>","Новая Краска МДР <МДР+3 ИНТ-3>",,5,etcitem,/etc_wit_hena_i02.webp
4612,"Greater Dye of WIT <Wit+3 Men-3>","Новая Краска МДР <МДР+3 ДУХ-3>",,5,etcitem,/etc_wit_hena_i02.webp
4613,"Greater Dye of STR <Str+4 Con-4>","Новая Краска СИЛ <СИЛ+4 ВЫН-4>",,6,etcitem,/etc_str_hena_i02.webp
4614,"Greater Dye of STR <Str+4 Dex-4>","Новая Краска СИЛ <СИЛ+4 ЛВК-4>",,6,etcitem,/etc_str_hena_i02.webp
4615,"Greater Dye of CON <Con+4 Str-4>","Новая Краска ВЫН <ВЫН+4 СИЛ-4>",,6,etcitem,/etc_con_hena_i02.webp
4616,"Greater Dye of CON <Con+4 Dex-4>","Новая Краска ВЫН <ВЫН+4 ЛВК-4>",,6,etcitem,/etc_con_hena_i02.webp
4617,"Greater Dye of DEX <Dex+4 Str-4>","Новая Краска ЛВК <ЛВК+4 СИЛ-4>",,6,etcitem,/etc_dex_hena_i02.webp
4618,"Greater Dye of DEX <Dex+4 Con-4>","Новая Краска ЛВК <ЛВК+4 ВЫН-4>",,6,etcitem,/etc_dex_hena_i02.webp
4619,"Greater Dye of INT <Int+4 Men-4>","Новая Краска ИНТ <ИНТ+4 ДУХ-4>",,6,etcitem,/etc_int_hena_i02.webp
4620,"Greater Dye of INT <Int+4 Wit-4>","Новая Краска ИНТ <ИНТ+4 МДР-4>",,6,etcitem,/etc_int_hena_i02.webp
4621,"Greater Dye of MEN <Men+4 Int-4>","Новая Краска ДУХ <ДУХ+4 ИНТ-4>",,6,etcitem,/etc_men_hena_i02.webp
4622,"Greater Dye of MEN <Men+4 Wit-4>","Новая Краска ДУХ <ДУХ+4 МДР-4>",,6,etcitem,/etc_men_hena_i02.webp
4623,"Greater Dye of WIT <Wit+4 Int-4>","Новая Краска МДР <МДР+4 ИНТ-4>",,6,etcitem,/etc_wit_hena_i02.webp
4624,"Greater Dye of WIT <Wit+4 Men-4>","Новая Краска МДР <МДР+4 ДУХ-4>",,6,etcitem,/etc_wit_hena_i02.webp
5137,"Compressed Package of Soulshots: B-grade","Пакет Зарядов Души: B-Ранг",,6,etcitem,/etc_pouch_yellow_i00.webp
5143,"Compressed Package of Spiritshots: B-grade","Пакет Зарядов Духа: B-Ранг",,6,etcitem,/etc_pouch_yellow_i00.webp
5149,"Compressed Package of Blessed Spiritshots: B-grade","Пакет Благословенных Зарядов Духа: B-Ранг",,6,etcitem,/etc_pouch_yellow_i00.webp
5138,"Compressed Package of Soulshots: A-grade","Пакет Зарядов Души: A-Ранг",,7,etcitem,/etc_pouch_yellow_i00.webp
5144,"Compressed Package of Spiritshots: A-grade","Пакет Зарядов Духа: A-Ранг",,7,etcitem,/etc_pouch_yellow_i00.webp
5150,"Compressed Package of Blessed Spiritshots: A-grade","Пакет Благословенных Зарядов Духа: A-Ранг",,7,etcitem,/etc_pouch_yellow_i00.webp
5139,"Compressed Package of Soulshots: S-grade","Пакет Зарядов Души: S-Ранг",,8,etcitem,/etc_pouch_yellow_i00.webp
5145,"Compressed Package of Spiritshots: S-grade","Пакет Зарядов Духа: S-Ранг",,8,etcitem,/etc_pouch_yellow_i00.webp
5151,"Compressed Package of Blessed Spiritshots: S-grade","Пакет Благословенных Зарядов Духа: S-Ранг",,8,etcitem,/etc_pouch_yellow_i00.webp
5220,"Metal Hardener","Отвердитель Металла",C,4,resource,/etc_plate_blue_i00.webp
6035,"Magic Haste Potion","Зелье Ускорения Магии",,1,etcitem,/etc_potion_of_acumen2_i00.webp
8622,"Elixir of Life (No Grade)","Эликсир Жизни (Без Ранга)",,1,etcitem,/etc_super_hp_potion_i00.webp
8628,"Elixir of Mental Strength (No Grade)","Эликсир Ментальной Силы (Без Ранга)",,1,etcitem,/etc_super_mp_potion_i00.webp
8634,"Elixir of CP (No Grade)","Эликсир CP (Без Ранга)",,1,etcitem,/etc_super_cp_potion_i00.webp
5257,"Greater Compressed Package of Spiritshots: D-grade","Упаковка Зарядов Духа: D-Ранг",,2,etcitem,/etc_pouch_gray_i00.webp
5263,"Greater Compressed Package of Blessed Spiritshots: D-grade","Упаковка Благословенных Зарядов Духа: D-Ранг",,2,etcitem,/etc_pouch_gray_i00.webp
6909,"Greater Fish Oil","Рыбий Жир",,2,etcitem,/etc_fish_oil_i01.webp
6036,"Greater Magic Haste Potion","Большое Зелье Ускорения Магии",,3,etcitem,/etc_potion_of_acumen3_i00.webp
6910,"Premium Fish Oil","Отличный Рыбий Жир",,3,etcitem,/etc_fish_oil_i02.webp
5252,"Greater Compressed Package of Soulshots: C-grade","Упаковка Зарядов Души: C-Ранг",,4,etcitem,/etc_pouch_gray_i00.webp
5258,"Greater Compressed Package of Spiritshots: C-grade","Упаковка Зарядов Духа: C-Ранг",,4,etcitem,/etc_pouch_gray_i00.webp
5264,"Greater Compressed Package of Blessed Spiritshots: C-grade","Упаковка Благословенных Зарядов Духа: C-Ранг",,4,etcitem,/etc_pouch_gray_i00.webp
5253,"Greater Compressed Package of Soulshots: B-grade","Упаковка Зарядов Души: B-Ранг",,6,etcitem,/etc_pouch_gray_i00.webp
5259,"Greater Compressed Package of Spiritshots: B-grade","Упаковка Зарядов Духа: B-Ранг",,6,etcitem,/etc_pouch_gray_i00.webp
5265,"Greater Compressed Package of Blessed Spiritshots: B-grade","Упаковка Благословенных Зарядов Духа: B-Ранг",,6,etcitem,/etc_pouch_gray_i00.webp
5254,"Greater Compressed Package of Soulshots: A-grade","Упаковка Зарядов Души: A-Ранг",,7,etcitem,/etc_pouch_gray_i00.webp
5260,"Greater Compressed Package of Spiritshots: A-grade","Упаковка Зарядов Духа: A-Ранг",,7,etcitem,/etc_pouch_gray_i00.webp
5266,"Greater Compressed Package of Blessed Spiritshots: A-grade","Упаковка Благословенных Зарядов Духа: A-Ранг",,7,etcitem,/etc_pouch_gray_i00.webp
5255,"Greater Compressed Package of Soulshots: S-grade","Упаковка Зарядов Души: S-Ранг",,8,etcitem,/etc_pouch_gray_i00.webp
5261,"Greater Compressed Package of Spiritshots: S-grade","Упаковка Зарядов Духа: S-Ранг",,8,etcitem,/etc_pouch_gray_i00.webp
5267,"Greater Compressed Package of Blessed Spiritshots: S-grade","Упаковка Благословенных Зарядов Духа: S-Ранг",,8,etcitem,/etc_pouch_gray_i00.webp
25,"Piece Bone Breastplate","Составная Костяная Кираса",NG,1,heavy_armor,/armor_t33_u_i00.webp
27,"Hard Leather Shirt","Рубаха из Толстой Кожи",NG,1,light_armor,/armor_t30_u_i00.webp
32,"Piece Bone Gaiters","Составные Костяные Набедренники",NG,1,heavy_armor,/armor_t33_l_i00.webp
33,"Hard Leather Gaiters","Набедренники из Толстой Кожи",NG,1,light_armor,/armor_t30_l_i00.webp
37,"Leather Shoes","Кожаные Ботинки",NG,1,boots,/armor_t05_b_i00.webp
39,"Boots","Сапоги",NG,1,boots,/armor_t30_b_i00.webp
44,"Leather Helmet","Кожаный Шлем",NG,1,helmet,/armor_leather_helmet_i00.webp
8623,"Elixir of Life (D-Grade)","Эликсир Жизни (D-Ранг)",D,2,etcitem,/etc_super_hp_potion_i01.webp
8629,"Elixir of Mental Strength (D-Grade)","Эликсир Ментальной Силы (D-Ранг)",D,2,etcitem,/etc_super_mp_potion_i01.webp
8635,"Elixir of CP (D-Grade)","Эликсир CP (D-Ранг)",D,2,etcitem,/etc_super_cp_potion_i01.webp
40,"Leather Boots","Кожаные Сапоги",D,2,boots,/armor_t09_b_i00.webp
8624,"Elixir of Life (C-Grade)","Эликсир Жизни (C-Ранг)",C,3,etcitem,/etc_super_hp_potion_i02.webp
8630,"Elixir of Mental Strength (C-Grade)","Эликсир Ментальной Силы (C-Ранг)",C,3,etcitem,/etc_super_mp_potion_i02.webp
8636,"Elixir of CP (C-Grade)","Эликсир CP (C-Ранг)",C,3,etcitem,/etc_super_cp_potion_i02.webp
8625,"Elixir of Life (B-Grade)","Эликсир Жизни (B-Ранг)",B,4,etcitem,/etc_super_hp_potion_i03.webp
8631,"Elixir of Mental Strength (B-Grade)","Эликсир Ментальной Силы (B-Ранг)",B,4,etcitem,/etc_super_mp_potion_i03.webp
8637,"Elixir of CP (B-Grade)","Эликсир CP (B-Ранг)",B,4,etcitem,/etc_super_cp_potion_i03.webp
5549,"Metallic Thread","Металлическая Нить",A,4,resource,/etc_skein_gray_i00.webp
5550,"Durable Metal Plate","Прочный Лист Стали",A,4,resource,/etc_squares_wood_i00.webp
5551,"Leolin's Mold","Заготовка Реорина",A,5,resource,/etc_blacksmiths_frame_i00.webp
8626,"Elixir of Life (A-Grade)","Эликсир Жизни (A-Ранг)",A,5,etcitem,/etc_super_hp_potion_i04.webp
8632,"Elixir of Mental Strength (A-Grade)","Эликсир Ментальной Силы (A-Ранг)",A,5,etcitem,/etc_super_mp_potion_i04.webp
8638,"Elixir of CP (A-Grade)","Эликсир CP (A-Ранг)",A,5,etcitem,/etc_super_cp_potion_i04.webp
5552,"Warsmith's Mold","Заготовка Оружейника",A,6,resource,/etc_blacksmiths_frame_i00.webp
5553,"Arcsmith's Anvil","Наковальня Кузнеца",A,6,resource,/etc_blacksmiths_frame_i00.webp
5554,"Warsmith's Holder","Рукоять Кузнеца",A,6,resource,/etc_blacksmiths_frame_i00.webp
8627,"Elixir of Life (S-Grade)","Эликсир Жизни (S-Ранг)",S,6,etcitem,/etc_super_hp_potion_i05.webp
8633,"Elixir of Mental Strength (S-Grade)","Эликсир Ментальной Силы (S-Ранг)",S,6,etcitem,/etc_super_mp_potion_i05.webp
8639,"Elixir of CP (S-Grade)","Эликсир CP (S-Ранг)",S,6,etcitem,/etc_super_cp_potion_i05.webp
50,"Leather Gloves","Кожаные Перчатки",NG,1,gloves,/armor_t32_g_i00.webp
429,"Leather Tunic","Кожаная Туника",NG,1,magic_armor,/armor_t05_u_i00.webp
464,"Leather Stockings","Кожаные Штаны",NG,1,magic_armor,/armor_t05_l_i00.webp
45,"Bone Helmet","Костяной Шлем",D,2,helmet,/armor_leather_helmet_i00.webp
348,"Scale Mail","Чешуйчатая Броня",D,2,heavy_armor,/armor_t08_u_i00.webp
377,"Scale Gaiters","Чешуйчатые Набедренники",D,2,heavy_armor,/armor_t08_l_i00.webp
434,"White Tunic","Белая Туника",D,2,magic_armor,/armor_t16_u_i00.webp
467,"Dark Stockings","Темные Штаны",D,2,magic_armor,/armor_t16_l_i00.webp
352,"Brigandine Tunic","Панцирная Туника",D,3,heavy_armor,/armor_t43_u_i00.webp
393,"Mithril Banded Mail","Усиленная Мифрилом Броня",D,3,light_armor,/armor_t10_u_i00.webp
395,"Manticore Skin Shirt","Рубаха из Шкуры Мантикоры",D,3,light_armor,/armor_t42_u_i00.webp
415,"Mithril Banded Gaiters","Усиленные Мифрилом Набедренники",D,3,light_armor,/armor_t10_l_i00.webp
417,"Manticore Skin Gaiters","Набедренники из Шкуры Мантикоры",D,3,light_armor,/armor_t42_l_i00.webp
437,"Mithril Tunic","Мифриловая Туника",D,3,magic_armor,/armor_t51_u_i00.webp
470,"Mithril Stockings","Мифриловые Штаны",D,3,magic_armor,/armor_t51_l_i00.webp
61,"Mithril Gloves","Мифриловые Перчатки",D,4,gloves,/armor_t46_g_i00.webp
353,"Half Plate Armor","Полулаты",D,4,heavy_armor,/armor_t46_u_i00.webp
380,"Plate Gaiters","Латные Набедренники",D,4,heavy_armor,/armor_t46_l_i00.webp
396,"Salamander Skin Mail","Рубаха из Кожи Саламандры",D,4,light_armor,/armor_t45_ul_i00.webp
438,"Sage's Rag","Накидка Мудреца",D,4,magic_armor,/armor_t44_ul_i00.webp
62,"Mithril Boots","Укрепленные Мифриловые Сапоги",C,4,boots,/armor_t47_b_i00.webp
354,"Chain Mail Shirt","Кольчужная Рубаха",C,4,heavy_armor,/armor_t48_u_i00.webp
381,"Chain Gaiters","Кольчужные Набедренники",C,4,heavy_armor,/armor_t48_l_i00.webp
397,"Mithril Shirt","Укрепленная Мифриловая Рубаха",C,4,light_armor,/armor_t47_u_i00.webp
439,"Karmian Tunic","Туника Кармиана",C,4,magic_armor,/armor_t53_u_i00.webp
471,"Karmian Stockings","Штаны Кармиана",C,4,magic_armor,/armor_t53_l_i00.webp
