ID,Name_EN,Name_RU,Type,Levels,Icon
214-mana-recovery,"Mana Recovery","Восстановление Маны",passive,1,/skill0214.webp
216-polearm-mastery,"Polearm Mastery","Владение Копьем",passive,45,/skill0216.webp
217-sword-blunt-mastery,"Sword Blunt Mastery","Владение Мечом/Дубиной",passive,45,/skill0217.webp
226-rest-in-piece,"Relax","Отдых",toggle,1,/skill0226.webp
227-light-armor-mastery-war,"Light Armor Mastery","Экипировка Легкой Брони",passive,50,/skill0227.webp
228-fast-spell-casting,"Fast Spell Casting","Быстрое Чтение Заклинаний",passive,3,/skill0228.webp
229-fast-mana-recovery,"Fast Mana Recovery","Быстрое Восстановление MP",passive,7,/skill0229.webp
230-speed-walk,"Sprint","Спринт",active,2,/skill0230.webp
231-heavy-armor-mastery-war,"Heavy Armor Mastery","Экипировка Тяжелой Брони",passive,50,/skill0231.webp
232-heavy-armor-mastery-kni,"Heavy Armor Mastery","Экипировка Тяжелой Брони",passive,52,/skill0232.webp
233-light-armor-mastery-rog,"Light Armor Mastery","Экипировка Легкой Брони",passive,47,/skill0233.webp
234-robe-mastery-wiz,"Robe Mastery","Экипировка Магической Брони",passive,41,/skill0234.webp
235-robe-mastery-cle,"Robe Mastery","Экипировка Магической Брони",passive,41,/skill0235.webp
236-light-armor-mastery-cle,"Light Armor Mastery","Экипировка Легкой Брони",passive,41,/skill0236.webp
239-expertise,"Expertise","Квалификация",passive,5,/skill0239.webp
244-armor-mastery-mag,"Armor Mastery","Экипировка Брони",passive,3,/skill0244.webp
246-seal-of-ruler,"Seal of Ruler","Печать Правителя",active,1,/skill0246.webp
1011-heal,"Heal","Лечение",active,18,/skill1011.webp
1012-cure-poison,"Cure Poison","Излечить Отравление",active,3,/skill1012.webp
1013-recharge,"Recharge","Восстановление",active,32,/skill1013.webp
1015-battle-heal,"Battle Heal","Боевое Лечение",active,15,/skill1015.webp
1027-group-heal,"Group Heal","Групповое Лечение",active,15,/skill1027.webp
1031-disrupt-undead,"Disrupt Undead","Разрушить Нежить",active,8,/skill1031.webp
1033-resist-poison,"Resist Poison","Сопротивление Яду",active,3,/skill1033.webp
1040-shield,"Shield","Щит",active,3,/skill1040.webp
1044-regeneration,"Regeneration","Регенерация",active,3,/skill1044.webp
1059-empower,"Empower","Воодушевление",active,3,/skill1059.webp
1062-berserker-spirit,"Berserker Spirit","Дух Берсерка",active,2,/skill1062.webp
1068-might,"Might","Могущество",active,3,/skill1068.webp
1069-sleep,"Sleep","Сон",active,42,/skill1069.webp
1077-focus,"Focus","Фокусировка",active,3,/skill1077.webp
1078-concentration,"Concentration","Концентрация",active,6,/skill1078.webp
1083-surrender-to-fire,"Surrender To Fire","Предать Огню",active,17,/skill1083.webp
1085-arcane-acumen,"Acumen","Проницательность",active,3,/skill1085.webp
1087-agility,"Agility","Проворство",active,3,/skill1087.webp
1111-summon-blackcat,"Summon Kat the Cat","Призвать Кэт",active,18,/skill1111.webp
1126-servitor-mana-charge,"Servitor Recharge","Восстановление Слуги",active,34,/skill1126.webp
1127-servitor-heal,"Servitor Heal","Лечение Слуги",active,45,/skill1127.webp
1144-fast-servitor,"Servitor Wind Walk","Легкая Походка Слуги",active,2,/skill1144.webp
1145-bright-servitor,"Bright Servitor","Способный Слуга",active,3,/skill1145.webp
1146-mighty-servitor,"Mighty Servitor","Могучий Слуга",active,3,/skill1146.webp
1147-vampiric-touch,"Vampiric Touch","Прикосновение Вампира",active,6,/skill1147.webp
1160-slow,"Slow","Замедление",active,15,/skill1160.webp
1164-curse-weakness,"Curse: Weakness","Проклятие: Слабость",active,19,/skill1164.webp
1167-poison-cloud,"Poisonous Cloud","Ядовитое Облако",active,6,/skill1167.webp
1168-curse-poison,"Curse: Poison","Проклятие: Яд",active,7,/skill1168.webp
1172-aura-burn,"Aura Burn","Сжигающая Аура",active,8,/skill1172.webp
1175-aqua-swirl,"Aqua Swirl","Водоворот",active,8,/skill1175.webp
1177-wind-strike,"Wind Strike","Удар Ветра",active,5,/skill1177.webp
1178-twister,"Twister","Смерч",active,8,/skill1178.webp
1181-flame-strike,"Flame Strike","Удар Пламени",active,3,/skill1181.webp
1182-aqua-resist,"Resist Aqua","Resist Aqua",active,3,/skill1182.webp
1184-ice-bolt,"Ice Bolt","Ледяной Шип",active,6,/skill1184.webp
1189-wind-resist,"Resist Wind","Сопротивление Ветру",active,3,/skill1189.webp
1191-fire-resist,"Resist Fire","Сопротивление Огню",active,3,/skill1191.webp
1201-dryad-root,"Dryad Root","Корень Дриады",active,33,/skill1201.webp
1204-wind-walk,"Wind Walk","Легкая Походка",active,2,/skill1204.webp
1206-breeze,"Wind Shackle","Оковы Ветра",active,19,/skill1206.webp
1216-self-heal,"Self Heal","Самолечение",active,1,/skill1216.webp
1217-greater-heal,"Greater Heal","Великое Лечение",active,33,/skill1217.webp
1218-greater-battle-heal,"Greater Battle Heal","Великое Боевое Лечение",active,33,/skill1218.webp
1219-greater-group-heal,"Greater Group Heal","Великое Групповое Лечение",active,33,/skill1219.webp
1220-blaze,"Blaze","Вспышка",active,8,/skill1220.webp
1222-curse-bleary,"Curse Chaos","Проклятие Хаоса",active,15,/skill1222.webp
1223-surrender-to-earth,"Surrender To Earth","Предать Земле",active,15,/skill1223.webp
1224-surrender-to-poison,"Surrender To Poison","Предать Яду",active,17,/skill1224.webp
148-meditation,"Vital Force","Жизненная Сила",passive,8,/skill0148.webp
171-full-of-energy,"Esprit","Боевой Дух",passive,8,/skill0171.webp
225-acrobat-move,"Acrobatic Move","Акробатическое Движение",passive,3,/skill0225.webp
1043-holy-weapon,"Holy Weapon","Святое Оружие",active,1,/skill1043.webp
100-stun-attack,"Stun Attack","Оглушающая Атака",active,15,/skill0100.webp
1035-mental-shield,"Mental Shield","Ментальный Щит",active,4,/skill1035.webp
247-building-headquarter,"Build Headquarters","Разбить Лагерь",active,1,/skill0247.webp
2-confusion,"Confusion","Замешательство",active,19,/skill0002.webp
15-charm,"Charm","Очарование",active,52,/skill0015.webp
27-unlock,"Unlock","Открыть",active,14,/skill0027.webp
29-iron-punch,"Iron Punch","Железный Удар",active,24,/skill0029.webp
34-bandage,"Bandage","Перевязка",active,3,/skill0034.webp
50-focus-force,"Focused Force","Сфокусированная Сила",active,7,/skill0050.webp
54-force-strike,"Force Blaster","Импульс Силы",active,49,/skill0054.webp
76-spirit-of-bear,"Bear Spirit Totem","Дух Медведя",active,1,/skill0076.webp
83-spirit-of-wolf,"Wolf Spirit Totem","Дух Волка",active,1,/skill0083.webp
94-rage,"Rage","Ярость",active,2,/skill0094.webp
95-slow-down,"Cripple","Хромота",active,20,/skill0095.webp
96-bleed,"Bleed","Кровотечение",active,6,/skill0096.webp
120-stunning-fist,"Stunning Fist","Оглушающий Кулак",active,15,/skill0120.webp
134-toughness,"Toughness","Стойкость",passive,1,/skill0134.webp
139-pinch-shield,"Guts","Мужество",active,3,/skill0139.webp
172-create-item,"Create Item","Создать Вещь",passive,9,/skill0172.webp
173-acrobat,"Acrobatics","Акробатика",passive,2,/skill0173.webp
176-frenzy,"Frenzy","Безумие",active,3,/skill0176.webp
195-lung-capacity,"Breath Boost","Глубокий Вдох",passive,2,/skill0195.webp
205-blunt-mastery,"Blunt Mastery","Владение Дубиной",passive,45,/skill0205.webp
210-fist-mastery,"Fist Mastery","Владение Кастетами",passive,45,/skill0210.webp
223-bleed-attack,"Sting","Жало",active,49,/skill0223.webp
245-wild-sweep,"Wild Sweep","Дикий Размах",active,15,/skill0245.webp
248-crystallize,"Crystallize","Кристаллизация",passive,5,/skill0248.webp
249-weapon-mastery-mag,"Weapon Mastery","Владение Оружием",passive,42,/skill0249.webp
250-weapon-mastery-sha,"Weapon Mastery","Владение Оружием",passive,42,/skill0250.webp
251-robe-mastery-sha,"Robe Mastery","Экипировка Магической Брони",passive,45,/skill0251.webp
252-light-armor-mastery-sha,"Light Armor Mastery","Экипировка Легкой Брони",passive,45,/skill0252.webp
253-heavy-armor-mastery-sha,"Heavy Armor Mastery","Экипировка Тяжелой Брони",passive,43,/skill0253.webp
1001-soul-cry,"Soul Cry","Крик Души",toggle,10,/skill1001.webp
1002-pure-inspiration,"Flame Chant","Напев Пламени",active,3,/skill1002.webp
1003-power-of-paagrio,"Pa'agrian Gift","Дар Паагрио",active,3,/skill1003.webp
1005-blessing-of-paagrio,"Blessings of Pa'agrio","Благословение Паагрио",active,3,/skill1005.webp
1006-burning-spirit,"Chant of Fire","Напев Огня",active,3,/skill1006.webp
1007-mass-frenzy,"Chant of Battle","Напев Битвы",active,3,/skill1007.webp
1009-devotioin-of-soul,"Chant of Shielding","Напев Защиты",active,3,/skill1009.webp
1010-devotioin-of-shine,"Soul Shield","Щит Души",active,3,/skill1010.webp
1016-resurrection,"Resurrection","Воскрешение",active,9,/skill1016.webp
1073-water-breathing,"Kiss of Eva","Поцелуй Евы",active,2,/skill1073.webp
1075-erase-hostility,"Peace","Примирение",active,15,/skill1075.webp
1090-blood-lust,"Life Drain","Кража Жизни",active,6,/skill1090.webp
1092-external-fear,"Fear","Страх",active,19,/skill1092.webp
1095-pain-thorn,"Venom","Отрава",active,5,/skill1095.webp
1096-engrave-seal-of-timid,"Seal of Chaos","Печать Хаоса",active,16,/skill1096.webp
1097-night-murmur,"Dreaming Spirit","Сонный Дух",active,20,/skill1097.webp
1099-engrave-seal-of-lazy,"Seal of Slow","Печать Замедления",active,15,/skill1099.webp
1100-chill-flame,"Chill Flame","Остужающее Пламя",active,2,/skill1100.webp
1101-eternal-flame,"Blaze Quake","Дрожь Огня",active,2,/skill1101.webp
1102-aura-sway,"Aura Sink","Ослабление Ауры",active,6,/skill1102.webp
1105-entice-madness,"Madness","Сумасшествие",active,18,/skill1105.webp
1107-blaze-quake,"Frost Flame","Морозное Пламя",active,2,/skill1107.webp
1151-corpse-life-drain,"Corpse Life Drain","Подпитка от Трупа",active,16,/skill1151.webp
1157-body-to-mind,"Body To Mind","Самобичевание",active,5,/skill1157.webp
1208-bind-will,"Seal of Binding","Печать Привязи",active,17,/skill1208.webp
1209-pain-edge,"Seal of Poison","Печать Яда",active,6,/skill1209.webp
1128-summon-shadow,"Summon Shadow","Призвать Тень",active,18,/skill1128.webp
1225-summon-cuti-cat,"Summon Mew the Cat","Призвать Мяу",active,18,/skill1225.webp
1226-summon-unicorn-boxer,"Summon Boxer the Unicorn","Призвать Бекара",active,18,/skill1226.webp
1227-summon-unicorn-mirage,"Summon Mirage the Unicorn","Призвать Миража",active,18,/skill1227.webp
1228-summon-silhouette,"Summon Silhouette","Призвать Гекату",active,18,/skill1228.webp
42-sweeper,"Sweeper","Присвоить",active,1,/skill0042.webp
254-spoil,"Spoil","Оценить",active,11,/skill0254.webp
110-ultimate-defence,"Ultimate Defense","Абсолютная Защита",active,2,/skill0110.webp
111-ultimate-evasion,"Ultimate Evasion","Абсолютное Уклонение",active,2,/skill0111.webp
255-power-smash,"Power Smash","Мощное Сокрушение",active,15,/skill0255.webp
256-accuracy,"Accuracy","Точность",toggle,1,/skill0256.webp
257-sword-blunt-mastery-war,"Sword Blunt Mastery","Владение Мечом/Дубиной",passive,45,/skill0257.webp
1229-inspire-life-force,"Chant of Life","Напев Жизни",active,18,/skill1229.webp
1-triple-slash,"Triple Slash","Тройное Рассечение",active,37,/skill0001.webp
5-double-sonic-slash,"Double Sonic Slash","Двойной Звуковой Разрез",active,31,/skill0005.webp
6-sonic-blaster,"Sonic Blaster","Звуковой Импульс",active,37,/skill0006.webp
7-sonic-storm,"Sonic Storm","Звуковой Шторм",active,28,/skill0007.webp
8-focus-sonic,"Sonic Focus","Фокусировка Звука",active,7,/skill0008.webp
9-sonic-buster,"Sonic Buster","Звуковая Волна",active,34,/skill0009.webp
10-summon-storm-cubic,"Summon Storm Cubic","Призвать Штормовой Куб",active,8,/skill0010.webp
11-trick,"Trick","Трюк",active,12,/skill0011.webp
12-switch,"Switch","Переключение",active,14,/skill0012.webp
17-force-buster,"Force Burst","Взрыв Силы",active,34,/skill0017.webp
18-hate-aura,"Aura of Hate","Аура Ненависти",active,37,/skill0018.webp
19-double-shot,"Double Shot","Двойной Выстрел",active,37,/skill0019.webp
22-summon-vampiric-cubic,"Summon Vampiric Cubic","Призвать Вампирический Куб",active,7,/skill0022.webp
24-burst-shot,"Burst Shot","Взрывной Выстрел",active,31,/skill0024.webp
25-summon-mechanic-golem,"Summon Mechanic Golem","Призвать Механического Голема",active,9,/skill0025.webp
30-backstab,"Backstab","Удар в Спину",active,37,/skill0030.webp
33-summon-poltergeist-cubic,"Summon Phantom Cubic","Призвать Призрачный Куб",active,8,/skill0033.webp
35-force-storm,"Force Storm","Силовой Шторм",active,28,/skill0035.webp
36-spinning-slasher,"Whirlwind","Вихрь",active,37,/skill0036.webp
44-remedy,"Remedy","Лекарство",active,3,/skill0044.webp
46-life-scavenge,"Life Scavenge","Отделение Жизни",active,15,/skill0046.webp
48-thunder-storm,"Thunder Storm","Грозовой Шторм",active,37,/skill0048.webp
49-holy-strike,"Holy Strike","Святой Удар",active,26,/skill0049.webp
51-lure,"Lure","Искушение",active,1,/skill0051.webp
60-fake-death,"Fake Death","Прикинуться Мертвым",toggle,1,/skill0060.webp
65-horror,"Horror","Ужас",active,13,/skill0065.webp
67-summon-life-cubic,"Summon Life Cubic","Призвать Оживляющий Куб",active,7,/skill0067.webp
69-sacrifice,"Sacrifice","Жертвоприношение",active,25,/skill0069.webp
72-iron-will,"Iron Will","Железная Воля",active,3,/skill0072.webp
75-detect-bug-weakness,"Detect Insect Weakness","Найти Уязвимость Насекомых",active,1,/skill0075.webp
80-detect-beast-weakness,"Detect Monster Weakness","Найти Уязвимость Зверей",active,1,/skill0080.webp
81-punch-of-doom,"Punch of Doom","Удар Судьбы",active,3,/skill0081.webp
84-poison-blade-dance,"Poison Blade Dance","Танец Ядовитых Клинков",active,3,/skill0084.webp
86-reflect-damage,"Reflect Damage","Отражение Урона",active,3,/skill0086.webp
87-detect-animail-weakness,"Detect Animal Weakness","Найти Уязвимость Животных",active,1,/skill0087.webp
88-detect-dragon-weakness,"Detect  Dragon Weakness","Найти Уязвимость Драконов",active,1,/skill0088.webp
97-sanctuary,"Sanctuary","Святилище",active,11,/skill0097.webp
98-sword-symphony,"Sword Symphony","Симфония Меча",active,5,/skill0098.webp
103-corpse-plague,"Corpse Plague","Трупная Чума",active,4,/skill0103.webp
104-detect-plant-weakness,"Detect Plant Weakness","Найти Уязвимость Растений",active,1,/skill0104.webp
106-veil,"Veil","Вуаль",active,14,/skill0106.webp
107-holy-aura,"Holy Aura","Святая Аура",active,9,/skill0107.webp
109-spirit-of-ogre,"Ogre Spirit Totem","Дух Огра",active,1,/skill0109.webp
116-howl,"Howl","Вой",active,14,/skill0116.webp
122-hex,"Hex","Сглаз",active,15,/skill0122.webp
123-spirit-barrier,"Spirit Barrier","Стена Духа",active,3,/skill0123.webp
127-hamstring,"Hamstring","Увечье",active,14,/skill0127.webp
130-thrill-fight,"Thrill Fight","Волнующая Схватка",active,2,/skill0130.webp
131-hawk-eye,"Hawk Eye","Глаз Ястреба",active,3,/skill0131.webp
143-cubic-mastery,"Cubic Mastery","Мастерство Призывания Кубов",passive,2,/skill0143.webp
144-dual-weapon-mastery,"Dual Weapon Mastery","Владение Парными Мечами",passive,37,/skill0144.webp
150-weight-limit,"Weight Limit","Лимит Веса",passive,3,/skill0150.webp
165-trade,"Trade","Торговля",passive,5,/skill0165.webp
181-revival,"Revival","Возрождение",active,1,/skill0181.webp
190-fatal-strike,"Fatal Strike","Фатальный Удар",active,37,/skill0190.webp
196-holy-blade,"Holy Blade","Святой Клинок",toggle,1,/skill0196.webp
197-holy-armor,"Holy Armor","Святая Броня",toggle,2,/skill0197.webp
221-silent-move,"Silent Move","Бесшумное Движение",toggle,1,/skill0221.webp
222-fist-fury,"Fist Fury","Ярость Орка",toggle,1,/skill0222.webp
258-light-armor-mastery-wlock,"Light Armor Mastery","Экипировка Легкой Брони",passive,33,/skill0258.webp
259-heavy-armor-mastery-pro,"Heavy Armor Mastery","Экипировка Тяжелой Брони",passive,33,/skill0259.webp
260-hammer-crush,"Hammer Crush","Сокрушение Молотом",active,37,/skill0260.webp
261-triple-sonic-slash,"Triple Sonic Slash","Тройное Звуковое Рассечение",active,22,/skill0261.webp
262-holy-blessing,"Holy Blessing","Святое Благословение",active,37,/skill0262.webp
263-deadly-blow,"Deadly Blow","Смертельный Выпад",active,37,/skill0263.webp
264-song-of-earth,"Song of Earth","Песня Земли",active,1,/skill0264.webp
265-song-of-life,"Song of Life","Песня Жизни",active,1,/skill0265.webp
266-song-of-water,"Song of Water","Песня Воды",active,1,/skill0266.webp
267-song-of-warding,"Song of Warding","Песня Отражения",active,1,/skill0267.webp
268-song-of-wind,"Song of Wind","Песня Ветра",active,1,/skill0268.webp
269-song-of-hunter,"Song of Hunter","Песня Охотника",active,1,/skill0269.webp
270-song-of-invocation,"Song of Invocation","Песня Святости",active,1,/skill0270.webp
271-dance-of-warrior,"Dance of Warrior","Танец Воителя",active,1,/skill0271.webp
272-dance-of-inspiration,"Dance of Inspiration","Танец Вдохновения",active,1,/skill0272.webp
273-dance-of-mystic,"Dance of Mystic","Танец Мистика",active,1,/skill0273.webp
274-dance-of-fire,"Fire Dance","Танец Огня",active,1,/skill0274.webp
275-dance-of-fury,"Dance of Fury","Танец Ярости",active,1,/skill0275.webp
276-dance-of-concentration,"Dance of Concentration","Танец Концентрации",active,1,/skill0276.webp
277-dance-of-light,"Dance of Light","Танец Света",active,1,/skill0277.webp
278-summon-viper-cubic,"Summon Viper Cubic","Призвать Змеиный Куб",active,6,/skill0278.webp
279-lightening-strike,"Lightning Strike","Удар Молнии",active,5,/skill0279.webp
280-burning-fist,"Burning Fist","Горящий Кулак",active,37,/skill0280.webp
281-soul-breaker,"Soul Breaker","Разрушитель Душ",active,37,/skill0281.webp
282-totem-spirit-puma,"Puma Spirit Totem","Дух Пумы",active,1,/skill0282.webp
283-summon-dark-panther,"Summon Dark Panther","Призвать Темную Пантеру",active,7,/skill0283.webp
1004-wisdom-of-paagrio,"The Wisdom of Pa'agrio","Мудрость Паагрио",active,3,/skill1004.webp
1008-glory-of-paagrio,"The Glory of Pa'agrio","Слава Паагрио",active,3,/skill1008.webp
1018-purify,"Purify","Очищение",active,3,/skill1018.webp
1020-vitalize,"Vitalize","Оживление",active,27,/skill1020.webp
1028-might-of-heaven,"Might of Heaven","Сила Небес",active,19,/skill1028.webp
1032-invigor,"Invigor","Энергичность",active,3,/skill1032.webp
1034-repose,"Repose","Упокоение",active,13,/skill1034.webp
1036-magic-barrier,"Magic Barrier","Магический Барьер",active,2,/skill1036.webp
1042-hold-undead,"Hold Undead","Остановить Нежить",active,12,/skill1042.webp
1045-bless-the-body,"Blessed Body","Благословение Тела",active,6,/skill1045.webp
1048-bless-the-soul,"Blessed Soul","Благословение Души",active,6,/skill1048.webp
1049-requiem,"Requiem","Реквием",active,14,/skill1049.webp
1050-return,"Return","Возвращение",active,2,/skill1050.webp
1056-cancel,"Cancellation","Отмена",active,12,/skill1056.webp
1064-silence,"Silence","Безмолвие",active,14,/skill1064.webp
1071-surrender-to-water,"Surrender To Water","Предать Воде",active,14,/skill1071.webp
1072-sleeping-cloud,"Sleeping Cloud","Усыпляющее Облако",active,5,/skill1072.webp
1074-surrender-to-wind,"Surrender To Wind","Предать Ветру",active,14,/skill1074.webp
1086-haste,"Haste","Ускорение",active,2,/skill1086.webp
1104-seal-of-winter,"Seal of Winter","Печать Зимы",active,14,/skill1104.webp
1108-seal-of-flame,"Seal of Flame","Печать Пламени",active,4,/skill1108.webp
1129-summon-reanimated-man,"Summon Reanimated Man","Призвать Воскрешенного",active,7,/skill1129.webp
1139-servitor-magic-shield,"Servitor Magic Shield","Магический Щит Слуги",active,2,/skill1139.webp
1140-servitor-physical-shield,"Servitor Physical Shield","Физический Щит Слуги",active,3,/skill1140.webp
1141-servitor-haste,"Servitor Haste","Ускорение Слуги",active,2,/skill1141.webp
1148-death-spike,"Death Spike","Шип Смерти",active,13,/skill1148.webp
1154-summon-corrupted-man,"Summon Corrupted Man","Призвать Порочного",active,6,/skill1154.webp
1155-corpse-burst,"Corpse Burst","Взрыв Трупа",active,15,/skill1155.webp
1156-forget,"Forget","Забывчивость",active,13,/skill1156.webp
1159-curse-death-link,"Curse Death Link","Проклятие Смертельной Связи",active,22,/skill1159.webp
1163-curse-discord,"Curse Discord","Проклятие: Раздор",active,14,/skill1163.webp
1169-curse-fear,"Curse Fear","Проклятие: Страх",active,14,/skill1169.webp
1170-anchor,"Anchor","Якорь",active,13,/skill1170.webp
1171-blazing-circle,"Blazing Circle","Пылающий Круг",active,19,/skill1171.webp
1174-frost-wall,"Frost Wall","Стена Мороза",active,22,/skill1174.webp
1176-tempest,"Tempest","Буря",active,15,/skill1176.webp
1183-freezing-shackle,"Freezing Shackle","Замораживающие Оковы",active,4,/skill1183.webp
1210-seal-of-gloom,"Seal of Gloom","Печать Мрака",active,4,/skill1210.webp
1213-seal-of-mirage,"Seal of Mirage","Печать Миражей",active,13,/skill1213.webp
1230-prominence,"Prominence","Протуберанец",active,28,/skill1230.webp
1231-aura-flare,"Aura Flare","Сияние Ауры",active,28,/skill1231.webp
1232-blazing-skin,"Blazing Skin","Пылающая Кожа",active,3,/skill1232.webp
1233-decay,"Decay","Разложение",active,4,/skill1233.webp
1234-vampiric-claw,"Vampiric Claw","Коготь Вампира",active,28,/skill1234.webp
1235-hydro-blast,"Hydro Blast","Волна Воды",active,28,/skill1235.webp
1236-frost-bolt,"Frost Bolt","Заряд Мороза",active,19,/skill1236.webp
1237-ice-dagger,"Ice Dagger","Ледяной Кинжал",active,17,/skill1237.webp
1238-freezing-skin,"Freezing Skin","Леденящая Кожа",active,3,/skill1238.webp
1239-hurricane,"Hurricane","Ураган",active,28,/skill1239.webp
1240-guidance,"Guidance","Наведение",active,3,/skill1240.webp
1242-death-whisper,"Death Whisper","Шепот Смерти",active,3,/skill1242.webp
1243-bless-shield,"Bless Shield","Благословленный Щит",active,6,/skill1243.webp
1244-freezing-flame,"Freezing Flame","Замораживающее Пламя",active,4,/skill1244.webp
1245-steal-essence,"Steal Essence","Кража Сущности",active,14,/skill1245.webp
1246-seal-of-silence,"Seal of Silence","Печать Безмолвия",active,12,/skill1246.webp
1247-seal-of-scourge,"Seal of Scourge","Печать Наказания",active,14,/skill1247.webp
1248-seal-of-suspension,"Seal of Suspension","Печать Отставания",active,12,/skill1248.webp
1249-sight-of-paagrio,"The Vision of Pa'agrio","Взгляд Паагрио",active,3,/skill1249.webp
1250-shield-of-paagrio,"Under the Protection of Pa'agrio","Защита Паагрио",active,3,/skill1250.webp
1251-chant-of-fury,"Chant of Fury","Напев Ярости",active,2,/skill1251.webp
1252-chant-of-evasion,"Chant of Evasion","Напев Уклонения",active,3,/skill1252.webp
1253-chant-of-rage,"Chant of Rage","Напев Гнева",active,3,/skill1253.webp
13-summon-siege-golem,"Summon Siege Golem","Призвать Осадного Голема",active,1,/skill0013.webp
284-hurricane-assault,"Hurricane Assault","Ураганное Нападение",active,40,/skill0284.webp
1254-mass-ressurection,"Mass Resurrection","Массовое Воскрешение",active,6,/skill1254.webp
1255-party-recall,"Party Recall","Возвращение группы",active,2,/skill1255.webp
1256-heart-of-paagrio,"The Heart of Pa'agrio","Сердце Паагрио",active,13,/skill1256.webp
1257-decrease-weight,"Decrease Weight","Легкость",active,3,/skill1257.webp
285-higher-mana-gain,"Higher Mana Gain","Ускоренное Восполнение Маны",passive,27,/skill0285.webp
1258-restore-life,"Restore Life","Пробудить Жизнь",active,4,/skill1258.webp
1259-resist-shock,"Resist Shock","Сопротивление Оглушению",active,4,/skill1259.webp
286-provoke,"Provoke","Провоцировать",active,3,/skill0286.webp
287-lionheart,"Lionheart","Львиное Сердце",active,3,/skill0287.webp
288-guard-stance,"Guard Stance","Оборонительная Боевая Стойка",toggle,4,/skill0288.webp
289-life-leech,"Life Leech","Кровопийца",active,15,/skill0289.webp
1047-mana-regeneration,"Mana Regeneration","Регенерация Маны",active,4,/skill1047.webp
1260-tact-of-paagrio,"The Tact of Pa'agrio","Ритм Паагрио",active,3,/skill1260.webp
1261-rage-of-paagrio,"The Rage of Pa'agrio","Ярость Паагрио",active,2,/skill1261.webp
